"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000198223.10"	"CSF2RA"	23	0.0211309620320688	-0.00430544749134146	-0.0131951369204783
"ENSG00000185291.6"	"IL3RA"	23	0.0231267467320455	-0.00699256272548157	-0.00729945628814207
"ENSG00000169100.8"	"SLC25A6"	23	0.0348685798469403	-0.00416969058315444	-0.00210254041610121
"ENSG00000169093.10"	"ASMTL"	23	0.0301675924166212	-0.0156744375655124	0.000377052020653797
"ENSG00000182162.5"	"P2RY8"	23	0.0118881739344055	-0.0253162539932274	0.00853570179624752
"ENSG00000197976.6"	"AKAP17A"	23	-0.00403966629509922	-0.0287825876701515	0.00844060490583063
"ENSG00000196433.7"	"ASMT"	23	-0.00355140635610552	-0.02548396730705	0.0112758641012361
"ENSG00000169084.8"	"DHRSX"	23	0.0183340336191746	0.0299462421148719	0.202196919091701
"ENSG00000214717.5"	"ZBED1"	23	0.0210112525617642	-0.000143405300202791	0.244724482202779
"ENSG00000002586.13"	"CD99"	23	-0.023241045643229	0.00961721163619767	0.244413615781794
"ENSG00000124343.8"	"XG"	23	-0.0289429545136875	0.00971073013837129	0.244216950628939
"ENSG00000056998.14"	"GYG2"	23	-0.0347098400639873	0.0275191017719805	0.245279775083259
"ENSG00000006756.11"	"ARSD"	23	-0.0140417251839618	0.0633890768769464	0.24890289127723
"ENSG00000157399.10"	"ARSE"	23	-0.00834508880624272	0.0656433052093828	0.255697029046151
"ENSG00000205667.2"	"ARSH"	23	-0.00895934167820392	0.0679340942461174	0.249821493612284
"ENSG00000062096.10"	"ARSF"	23	0.00217112278600432	0.0621081070006122	0.264634779408676
"ENSG00000228459.2"	"CXorf28"	23	0.00886290242835003	0.0356286982528858	0.213555694598056
"ENSG00000101825.7"	"MXRA5"	23	0.00356871308093469	0.0302634910691932	0.211109948274263
"ENSG00000183943.5"	"PRKX"	23	0.0428692844809381	0.0166136435492996	0.225540258960081
"ENSG00000205664.6"	"RP11-706O15.1"	23	0.0599910294352898	0.0423125230605254	0.21079546266518
"ENSG00000146938.10"	"NLGN4X"	23	0.168449139852703	0.134888414345589	0.105248470667309
"ENSG00000169059.8"	"VCX3A"	23	0.205664388549422	0.137398766225359	0.120778329495839
"ENSG00000130021.9"	"HDHD1"	23	0.147961656740032	0.111755645540093	0.060193832712543
"ENSG00000101846.6"	"STS"	23	0.171670047367544	0.0752832444457068	0.0847719348926839
"ENSG00000182583.8"	"VCX"	23	0.189582821372311	0.0894063309155201	0.135827324634323
"ENSG00000006757.7"	"PNPLA4"	23	0.188476898431242	0.0935057959467709	0.127046340465136
"ENSG00000177504.9"	"VCX2"	23	0.147752055124853	0.114239991911009	0.115130219419529
"ENSG00000205642.5"	"VCX3B"	23	0.165179199859483	0.0708065487853076	0.15959477919932
"ENSG00000011201.6"	"KAL1"	23	0.146340757872393	0.0708632169766367	0.162694271959875
"ENSG00000183304.6"	"FAM9A"	23	0.125102360516686	0.0589854852596487	0.104762635652731
"ENSG00000177138.11"	"FAM9B"	23	0.178558070699685	0.0330630296056605	0.115642221921837
"ENSG00000101849.11"	"TBL1X"	23	0.115420444450833	0.0919468551439015	0.1614319815227
"ENSG00000101850.8"	"GPR143"	23	0.108761646505494	0.0421462087627067	0.142232990545614
"ENSG00000146950.8"	"SHROOM2"	23	0.114809811935795	0.0224083303992673	0.156466973611177
"ENSG00000234469.2"	"AC002365.1"	23	0.111080744767868	0.0320534242483743	0.197553320262596
"ENSG00000047644.13"	"WWC3"	23	0.108167505683661	0.0449620330357001	0.206954484687162
"ENSG00000073464.7"	"CLCN4"	23	0.0923953731286105	0.0480990592527886	0.197816020019753
"ENSG00000101871.10"	"MID1"	23	0.0681400468089917	3.19907688621342e-06	0.190287508291706
"ENSG00000004961.10"	"HCCS"	23	0.0208959299896513	0.049886540108437	0.224589678898651
"ENSG00000047648.17"	"ARHGAP6"	23	0.0252685759890983	0.0468212504838747	0.222311032330774
"ENSG00000125363.10"	"AMELX"	23	0.0353553980090266	0.00289052931250709	0.197130022985739
"ENSG00000005302.13"	"MSL3"	23	0.0799509977877541	0.0347606909289518	0.219438270368542
"ENSG00000169933.8"	"FRMPD4"	23	0.0616150837717734	0.0312345660467049	0.218091188315076
"ENSG00000101911.8"	"PRPS2"	23	0.0258894408136716	-0.00403577528043343	0.205753910486701
"ENSG00000196664.4"	"TLR7"	23	0.025456916345141	-0.0251036366262645	0.222031801845924
"ENSG00000101916.11"	"TLR8"	23	0.0254242412189353	-0.0194961033383849	0.217367688901513
"ENSG00000205542.6"	"TMSB4X"	23	0.0331340080510345	-0.0291469768376596	0.243657169377224
"ENSG00000187268.7"	"FAM9C"	23	0.025477345003833	0.00114249083801306	0.257454089649067
"ENSG00000123594.3"	"ATXN3L"	23	-0.0255288280625443	-0.0086595623941622	0.235759394175634
"ENSG00000198759.7"	"EGFL6"	23	-0.00646862419057366	0.0521796519786427	0.278638565296168
"ENSG00000176896.7"	"TCEANC"	23	-0.019756230243838	0.0501974570024915	0.270317882705526
"ENSG00000123595.5"	"RAB9A"	23	-0.0361543307519031	0.0517360318788091	0.261725056891092
"ENSG00000196459.9"	"TRAPPC2"	23	-0.0369573957388193	0.0554533370387783	0.258263396431214
"ENSG00000046651.10"	"OFD1"	23	-0.036192736174578	0.0615908491426558	0.245780191263721
"ENSG00000046653.10"	"GPM6B"	23	-0.0298412400789226	0.061191617660444	0.226125897804102
"ENSG00000046647.9"	"GEMIN8"	23	0.0115132656019802	0.0708059948513748	0.212684717681681
"ENSG00000101958.9"	"GLRA2"	23	0.0120148388833459	0.00548733782936854	0.213387097605613
"ENSG00000181544.9"	"FANCB"	23	-0.00315352103109967	0.0182319883898215	0.26942647740286
"ENSG00000130150.7"	"MOSPD2"	23	0.00114420840402398	0.0337425824028038	0.270023463310174
"ENSG00000102048.11"	"ASB9"	23	0.0134907005382668	0.0478333960734743	0.19486217277751
"ENSG00000165192.9"	"ASB11"	23	0.027788364266723	0.0440051641893092	0.182295595722775
"ENSG00000165195.9"	"PIGA"	23	0.0457355072608309	0.0379904915195164	0.181019211122443
"ENSG00000165197.4"	"FIGF"	23	0.0558143634553259	0.0396424189761575	0.176778512117071
"ENSG00000087842.6"	"PIR"	23	0.0615079738402802	0.0388063167301931	0.170677962205527
"ENSG00000102010.10"	"BMX"	23	0.0737213111038246	0.0342527532713307	0.178149656788123
"ENSG00000130234.6"	"ACE2"	23	0.0771283729358933	0.0128901830628251	0.208179612436062
"ENSG00000147003.5"	"TMEM27"	23	0.0766928612963781	0.0178713697785864	0.217474841270941
"ENSG00000169239.8"	"CA5B"	23	0.0833934869589015	0.032014125106628	0.215148332693769
"ENSG00000169249.8"	"ZRSR2"	23	0.0785412905503249	0.0612373810446627	0.223760803241293
"ENSG00000182287.9"	"AP1S2"	23	0.0762091320353541	0.0759912149710639	0.212771329782825
"ENSG00000126010.5"	"GRPR"	23	0.0450109609817432	0.0727028447904226	0.198106224481162
"ENSG00000182798.6"	"MAGEB17"	23	0.0490480744980141	0.0739199978205885	0.200014389156291
"ENSG00000047230.10"	"CTPS2"	23	0.0967911271826406	0.0374452822114942	0.181893161867823
"ENSG00000169906.5"	"S100G"	23	0.0842348667459945	0.0323388262795465	0.194382515042837
"ENSG00000169895.5"	"SYAP1"	23	0.0662160311185064	0.0188298181873741	0.197459363558896
"ENSG00000086712.8"	"TXLNG"	23	0.0499796546584895	0.00590524423885891	0.19284225183955
"ENSG00000102054.13"	"RBBP7"	23	0.033640125843941	0.00654672308753068	0.179179027900204
"ENSG00000169891.13"	"REPS2"	23	0.0307672416870855	0.0181887385162448	0.15380087416788
"ENSG00000188158.10"	"NHS"	23	0.0882008082921354	0.0736546510054601	0.118592173026576
"ENSG00000047634.10"	"SCML1"	23	0.0875802113314373	0.033702279570038	0.169445996101179
"ENSG00000131831.13"	"RAI2"	23	0.0763743498713061	0.0795048388931688	0.188039862210605
"ENSG00000177324.9"	"BEND2"	23	0.0573265102386315	0.0784118127896882	0.212283343545854
"ENSG00000102098.13"	"SCML2"	23	0.0773874943419241	0.059185141799467	0.208939552602217
"ENSG00000008086.6"	"CDKL5"	23	0.0547435833854864	0.0354431670855218	0.152743526185011
"ENSG00000102104.8"	"RS1"	23	0.0357555677882449	0.0595098831189418	0.148673739240838
"ENSG00000086717.14"	"PPEF1"	23	0.0259036161610253	0.0523111608654476	0.155521875134666
"ENSG00000044446.7"	"PHKA2"	23	0.0263048725068577	0.0371310626240163	0.171806429647835
"ENSG00000173698.13"	"GPR64"	23	0.046559915403529	0.0127719266556836	0.176113371969242
"ENSG00000131828.9"	"PDHA1"	23	0.0298776797644191	0.0298756780980668	0.203761680585294
"ENSG00000180815.10"	"MAP3K15"	23	0.036656627229294	0.0384115559225421	0.210841487595108
"ENSG00000147010.13"	"SH3KBP1"	23	0.0698777209193641	0.0617417215232109	0.209683927498927
"ENSG00000173681.12"	"CXorf23"	23	0.0700916619877874	0.0631876250501656	0.154999289023637
"ENSG00000184368.11"	"MAP7D2"	23	0.0666961028314244	0.0452081534673382	0.123379650306263
"ENSG00000173674.6"	"EIF1AX"	23	0.0464345896362015	0.0567964092299857	0.121766320028687
"ENSG00000177189.8"	"RPS6KA3"	23	0.0476241929623126	0.0629008489674268	0.122442480776923
"ENSG00000149970.10"	"CNKSR2"	23	0.145549320853366	0.102758539067584	0.133927314033794
"ENSG00000185915.4"	"KLHL34"	23	0.0943158710899803	0.147767867836813	0.124131257884346
"ENSG00000091482.5"	"SMPX"	23	0.0947665748683158	0.140269653746755	0.110630822067059
