"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000198223.10"	"CSF2RA"	23	-0.0123467368198183	-0.0207872824580092	-0.0100036586334385
"ENSG00000185291.6"	"IL3RA"	23	-0.0116099298877566	-0.0143699002796763	-0.011561094803565
"ENSG00000169100.8"	"SLC25A6"	23	0.00188036573418126	-0.012015957165917	-0.0285421724648363
"ENSG00000169093.10"	"ASMTL"	23	0.00452841846685043	-0.000315293763827395	-0.0302316468045989
"ENSG00000182162.5"	"P2RY8"	23	-0.00883317283902227	0.011527654372783	-0.0165336100399531
"ENSG00000197976.6"	"AKAP17A"	23	-0.0233902804949649	0.0153993135990139	-0.00549265315306692
"ENSG00000196433.7"	"ASMT"	23	-0.0201911961347919	0.0175555450034001	-0.00271711305784808
"ENSG00000169084.8"	"DHRSX"	23	-0.0791653585783968	-0.0945311073375128	-0.300187306426825
"ENSG00000214717.5"	"ZBED1"	23	-0.102139680428534	-0.0844000845620903	-0.265412414133314
"ENSG00000002586.13"	"CD99"	23	-0.0879062953233324	-0.128991167975367	-0.244248059267924
"ENSG00000124343.8"	"XG"	23	-0.0840940694568576	-0.13477248848676	-0.244841098504361
"ENSG00000056998.14"	"GYG2"	23	-0.080440181807004	-0.115360861673167	-0.243238451197738
"ENSG00000006756.11"	"ARSD"	23	-0.0529794981475483	-0.106900536678539	-0.246224962115788
"ENSG00000157399.10"	"ARSE"	23	-0.0459604884809102	-0.105729564611184	-0.251990096365761
"ENSG00000205667.2"	"ARSH"	23	-0.0464792408096471	-0.0982554963838552	-0.251162230985123
"ENSG00000062096.10"	"ARSF"	23	-0.0435833488722618	-0.106235825133469	-0.256983004311863
"ENSG00000228459.2"	"CXorf28"	23	-0.0314629376835908	-0.0903744389532272	-0.24933211575407
"ENSG00000101825.7"	"MXRA5"	23	-0.0368360458905368	-0.101053071094064	-0.251674667590801
"ENSG00000183943.5"	"PRKX"	23	-0.0421376061482418	-0.0755237495247815	-0.240882978335499
"ENSG00000205664.6"	"RP11-706O15.1"	23	-0.063727937486822	-0.0748172884480224	-0.236961742690295
"ENSG00000146938.10"	"NLGN4X"	23	0.0438814552795108	-0.167626653065231	-0.183419584290706
"ENSG00000169059.8"	"VCX3A"	23	0.0725086952111064	-0.186117300030616	-0.159018506449263
"ENSG00000130021.9"	"HDHD1"	23	0.0617988939661199	-0.12198612517764	-0.1587396306359
"ENSG00000101846.6"	"STS"	23	0.068669577250608	-0.129940009278963	-0.166987425945655
"ENSG00000182583.8"	"VCX"	23	0.0424031873787168	-0.165781147954624	-0.194932427312144
"ENSG00000006757.7"	"PNPLA4"	23	0.0446025766746579	-0.153517692352945	-0.199603430872885
"ENSG00000177504.9"	"VCX2"	23	0.0589835351323937	-0.138976189533762	-0.214150112108888
"ENSG00000205642.5"	"VCX3B"	23	0.0561550244067253	-0.128109209155671	-0.161849113178115
"ENSG00000011201.6"	"KAL1"	23	0.0367042659115357	-0.127099302704185	-0.166391023068859
"ENSG00000183304.6"	"FAM9A"	23	0.0253178317930988	-0.168876423333252	-0.183550792940775
"ENSG00000177138.11"	"FAM9B"	23	0.0591765593874415	-0.191212666508069	-0.166924569543866
"ENSG00000101849.11"	"TBL1X"	23	0.0504733064881232	-0.107237625822254	-0.178176013544615
"ENSG00000101850.8"	"GPR143"	23	0.02152968215916	-0.121473375410247	-0.215591418084449
"ENSG00000146950.8"	"SHROOM2"	23	0.00547473082869146	-0.119870334240607	-0.208747859336952
"ENSG00000234469.2"	"AC002365.1"	23	-0.00302679994402864	-0.122084228814967	-0.179173280719971
"ENSG00000047644.13"	"WWC3"	23	-0.00404215866909453	-0.125739308259617	-0.167695531892054
"ENSG00000073464.7"	"CLCN4"	23	-0.0370197615912833	-0.114272143027308	-0.187551442133939
"ENSG00000101871.10"	"MID1"	23	-0.0304486271144075	-0.0727875807694277	-0.207917118400915
"ENSG00000004961.10"	"HCCS"	23	3.38950955852166e-06	-0.101116438983093	-0.219776252744909
"ENSG00000047648.17"	"ARHGAP6"	23	0.000549604340431956	-0.100832686956583	-0.216145819124595
"ENSG00000125363.10"	"AMELX"	23	-0.00284183697396675	-0.0922485986208114	-0.179013534792669
"ENSG00000005302.13"	"MSL3"	23	-0.00673670131197183	-0.140809998532812	-0.181945320282341
"ENSG00000169933.8"	"FRMPD4"	23	0.036777770793857	-0.138057847397663	-0.170668451811278
"ENSG00000101911.8"	"PRPS2"	23	0.0024692489267004	-0.121962320653646	-0.197978852897156
"ENSG00000196664.4"	"TLR7"	23	-0.0142536596416603	-0.123896616330512	-0.193994385054804
"ENSG00000101916.11"	"TLR8"	23	-0.0142270923818249	-0.122814541565723	-0.191639277250372
"ENSG00000205542.6"	"TMSB4X"	23	-0.0249540147514578	-0.118385619086267	-0.170141144234951
"ENSG00000187268.7"	"FAM9C"	23	-0.0223476812495542	-0.111050524206655	-0.171687712200025
"ENSG00000123594.3"	"ATXN3L"	23	-0.00832727381660557	-0.14753487067191	-0.16128943893512
"ENSG00000198759.7"	"EGFL6"	23	0.0367382391544625	-0.125201508993602	-0.181145456236797
"ENSG00000176896.7"	"TCEANC"	23	0.0262940704653468	-0.111095760926567	-0.185499631799799
"ENSG00000123595.5"	"RAB9A"	23	0.026456103833381	-0.0994095601881283	-0.188108907449914
"ENSG00000196459.9"	"TRAPPC2"	23	0.0253211906696109	-0.0972437260616103	-0.191230928445238
"ENSG00000046651.10"	"OFD1"	23	0.0250669446327518	-0.0992459060636918	-0.195458050870168
"ENSG00000046653.10"	"GPM6B"	23	0.0275512672595228	-0.115199165527563	-0.207554599052751
"ENSG00000046647.9"	"GEMIN8"	23	-0.0146076620138707	-0.116438820618281	-0.223500010665956
"ENSG00000101958.9"	"GLRA2"	23	-0.0430132877936853	-0.0863947141118459	-0.19411037755062
"ENSG00000181544.9"	"FANCB"	23	-0.0347848276648135	-0.0546272245464834	-0.225484212129323
"ENSG00000130150.7"	"MOSPD2"	23	-0.0297269338635484	-0.0552981170889788	-0.227993736538547
"ENSG00000102048.11"	"ASB9"	23	-0.00162043606258899	-0.0906787627941271	-0.173940684422532
"ENSG00000165192.9"	"ASB11"	23	0.00874935920221788	-0.093078771161369	-0.169321785689746
"ENSG00000165195.9"	"PIGA"	23	0.0230437185127208	-0.100601886339344	-0.162937708878972
"ENSG00000165197.4"	"FIGF"	23	0.0313156512699584	-0.102095808830955	-0.162087492661447
"ENSG00000087842.6"	"PIR"	23	0.0289983528609267	-0.105680929168795	-0.150424833851476
"ENSG00000102010.10"	"BMX"	23	0.0391244527577033	-0.10413847948289	-0.161446418591505
"ENSG00000130234.6"	"ACE2"	23	0.0540848638660046	-0.101472656358456	-0.17806436962373
"ENSG00000147003.5"	"TMEM27"	23	0.0535716108362428	-0.112021370368674	-0.187554208627171
"ENSG00000169239.8"	"CA5B"	23	0.0509304206341886	-0.124376466540876	-0.17993135154449
"ENSG00000169249.8"	"ZRSR2"	23	0.0358879786392654	-0.141691961401692	-0.185037075668347
"ENSG00000182287.9"	"AP1S2"	23	0.0338331318482613	-0.146476483933315	-0.185516698289097
"ENSG00000126010.5"	"GRPR"	23	-0.0053809187345251	-0.115660421143698	-0.177997702655968
"ENSG00000182798.6"	"MAGEB17"	23	-0.0118563709393136	-0.117722146782092	-0.178900705499576
"ENSG00000047230.10"	"CTPS2"	23	-0.0167386991702775	-0.0746212021752095	-0.170699557315185
"ENSG00000169906.5"	"S100G"	23	-0.0150531429250269	-0.0760696480589844	-0.179532307503253
"ENSG00000169895.5"	"SYAP1"	23	-0.00127917327605266	-0.074366466411494	-0.19910584683941
"ENSG00000086712.8"	"TXLNG"	23	-0.00720967731502206	-0.0760620189839938	-0.218270607649732
"ENSG00000102054.13"	"RBBP7"	23	-0.0121807663840172	-0.0852437095013406	-0.225603448954901
"ENSG00000169891.13"	"REPS2"	23	-0.0307876046522258	-0.0966511186353455	-0.224745223974283
"ENSG00000188158.10"	"NHS"	23	-0.0655978436197101	-0.0925711080036289	-0.175771146628672
"ENSG00000047634.10"	"SCML1"	23	-0.0165571206065666	-0.114014399096761	-0.18195491373409
"ENSG00000131831.13"	"RAI2"	23	-0.00356537880568054	-0.0908369958380799	-0.178453592000335
"ENSG00000177324.9"	"BEND2"	23	-0.0168321641616892	-0.0844989987373449	-0.166483340104837
"ENSG00000102098.13"	"SCML2"	23	-0.0228189024447935	-0.105266773011267	-0.159731880755623
"ENSG00000008086.6"	"CDKL5"	23	-0.0685853679174807	-0.107649637896585	-0.187030171511534
