"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000002016.12"	"RAD52"	12	-0.0454050886188514	-0.0150909107366022	0.0423716861881108
"ENSG00000082805.15"	"ERC1"	12	-0.046735858490741	-0.00635769136584771	0.0436336260582994
"ENSG00000111186.8"	"WNT5B"	12	0.0267752090242539	-0.00829334667049468	0.00990470668878731
"ENSG00000171823.6"	"FBXL14"	12	0.01354755736744	-0.0123512964279255	0.0136620084458356
"ENSG00000006831.9"	"ADIPOR2"	12	-0.0346495086507272	0.0273632470826578	-0.0469899927591027
"ENSG00000151062.10"	"CACNA2D4"	12	-0.0353400085431023	0.00828945001835295	-0.048485317282165
"ENSG00000166159.6"	"LRTM2"	12	-0.0332273964109488	-0.00934142944643443	-0.0494494485716078
"ENSG00000151065.9"	"DCP1B"	12	-0.0266100811829222	-0.102810952698065	-0.179153614722304
"ENSG00000151067.16"	"CACNA1C"	12	-0.0192784828988842	-0.0933464524558559	-0.186406889132836
"ENSG00000004478.5"	"FKBP4"	12	0.0191385717768591	-0.15407837040346	-0.23479026515217
"ENSG00000111203.7"	"ITFG2"	12	0.0288132895681338	-0.147978472569085	-0.235506809410035
"ENSG00000053702.10"	"NRIP2"	12	0.0308315659837424	-0.143330940861249	-0.228036425689012
"ENSG00000206044.3"	"AC005841.1"	12	0.0328383672123296	-0.142822052108983	-0.220279881072867
"ENSG00000111206.8"	"FOXM1"	12	0.0322688960491447	-0.136225687792162	-0.213204995925353
"ENSG00000078246.11"	"TULP3"	12	0.0338919818919801	-0.130615870691299	-0.230142973129711
"ENSG00000171792.6"	"RHNO1"	12	0.0338919818919801	-0.130615870691299	-0.230142973129711
"ENSG00000197905.4"	"TEAD4"	12	-0.0168794700443137	-0.0539759698588576	-0.26323664362283
"ENSG00000011105.7"	"TSPAN9"	12	-0.0195912780683422	-0.0287283933673309	-0.227920629411934
"ENSG00000111218.7"	"PRMT8"	12	-0.0853884094496127	0.00694949978331331	-0.24197402159409
"ENSG00000130038.5"	"EFCAB4B"	12	-0.0975349189435442	-0.0224065176397903	-0.252032664170442
"ENSG00000111224.9"	"PARP11"	12	-0.0911080999005722	-0.0450471667178724	-0.201173352612028
"ENSG00000118971.3"	"CCND2"	12	-0.0422613749638931	-0.0883069497227147	-0.232764574247487
"ENSG00000078237.4"	"C12orf5"	12	-0.0393987353312926	-0.0433748127579646	-0.204980156220834
"ENSG00000118972.1"	"FGF23"	12	-0.0405234141358994	-0.033163868490944	-0.197062480501626
"ENSG00000111241.2"	"FGF6"	12	-0.0542642322300834	-0.0212382519891278	-0.198131483106437
"ENSG00000047621.7"	"C12orf4"	12	-0.0401841697529605	-0.0207353304324409	-0.199143518652557
"ENSG00000111247.10"	"RAD51AP1"	12	-0.0346050135889243	-0.0222167229757605	-0.201144248284277
"ENSG00000010219.9"	"DYRK4"	12	-0.0147622184055827	-0.0233173184732391	-0.235968579601971
"ENSG00000272921.1"	"RP11-500M8.7"	12	-0.0216572296485628	-0.023776956919308	-0.259905482506789
"ENSG00000111254.3"	"AKAP3"	12	-0.0242486524969899	-0.0245355559609186	-0.265838461790468
"ENSG00000139180.6"	"NDUFA9"	12	-0.0236941576687882	-0.0234830691510091	-0.268825617326199
