"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000198223.10"	"CSF2RA"	23	0.0248788916902821	0.0368500749939831	-0.00606224698324395
"ENSG00000185291.6"	"IL3RA"	23	0.0179285990271646	0.042331577484127	0.00198943975845369
"ENSG00000169100.8"	"SLC25A6"	23	0.0265614659199628	0.0335081973650174	0.0134963868579627
"ENSG00000169093.10"	"ASMTL"	23	0.0180677389078353	0.0416684155718931	-0.00274763102537901
"ENSG00000182162.5"	"P2RY8"	23	-0.0172148932989082	0.0266198441656398	-0.0148552115440445
"ENSG00000197976.6"	"AKAP17A"	23	-0.0289406877721412	0.0146881157500174	-0.0268084935497278
"ENSG00000196433.7"	"ASMT"	23	-0.0285449874590682	0.00803338889477219	-0.0261757969979136
"ENSG00000169084.8"	"DHRSX"	23	-0.107812097032634	-0.00222965360146059	0.254928832754619
"ENSG00000214717.5"	"ZBED1"	23	-0.0461711824947006	-0.0203220692292923	0.274915806117737
"ENSG00000002586.13"	"CD99"	23	-0.0840682150671579	-0.0594923512551408	0.317674825261668
"ENSG00000124343.8"	"XG"	23	-0.0966024507229241	-0.0645270044992987	0.318431633953348
"ENSG00000056998.14"	"GYG2"	23	-0.0812202022701661	-0.0689789415250813	0.299522056163492
"ENSG00000006756.11"	"ARSD"	23	-0.0976455210570883	-0.0792950821888652	0.248625208927177
"ENSG00000157399.10"	"ARSE"	23	-0.105394930654164	-0.0792045251713406	0.246188780796409
"ENSG00000205667.2"	"ARSH"	23	-0.12765080445031	-0.0607189537807469	0.245086676186071
"ENSG00000062096.10"	"ARSF"	23	-0.137684197758566	-0.053157705754814	0.250043764842436
"ENSG00000228459.2"	"CXorf28"	23	-0.119000154786045	-0.0162797634329224	0.274668460346731
"ENSG00000101825.7"	"MXRA5"	23	-0.0976449061246537	-0.0167853661789713	0.274259950435092
"ENSG00000183943.5"	"PRKX"	23	-0.122446272017206	-0.0587987626265721	0.212769594245968
"ENSG00000205664.6"	"RP11-706O15.1"	23	-0.129331001147282	-0.00228154633168073	0.203773260169078
"ENSG00000146938.10"	"NLGN4X"	23	-0.252055567790588	0.0664823902912232	0.1102642950308
"ENSG00000169059.8"	"VCX3A"	23	-0.324384459509781	-0.0207354804145644	0.121785979554362
"ENSG00000130021.9"	"HDHD1"	23	-0.223357050149041	0.0129511375019131	0.0969712485152175
"ENSG00000101846.6"	"STS"	23	-0.252826293342199	0.0235343481724579	0.118668779715354
"ENSG00000182583.8"	"VCX"	23	-0.238360906618627	-0.0285285620170228	0.184918664357585
"ENSG00000006757.7"	"PNPLA4"	23	-0.230829689945383	-0.0286683321012849	0.172969175717739
"ENSG00000177504.9"	"VCX2"	23	-0.148777437571297	-0.00318104300941912	0.228381476997076
"ENSG00000205642.5"	"VCX3B"	23	-0.203015798991427	0.052609969724309	0.224654298169356
"ENSG00000011201.6"	"KAL1"	23	-0.204929378939157	0.0467716536609775	0.186544007239967
"ENSG00000183304.6"	"FAM9A"	23	-0.232586757204001	-0.0172573270649817	0.212245845085024
"ENSG00000177138.11"	"FAM9B"	23	-0.214671548483233	0.0242203121595109	0.268264717310686
"ENSG00000101849.11"	"TBL1X"	23	-0.222094146904384	0.00318124153836097	0.128511826453852
"ENSG00000101850.8"	"GPR143"	23	-0.243585500064598	0.0400429402500341	0.170379693050607
"ENSG00000146950.8"	"SHROOM2"	23	-0.267879842238741	0.0444236189380649	0.169049802957222
"ENSG00000234469.2"	"AC002365.1"	23	-0.298948341502861	0.00752829454151009	0.143423997705112
"ENSG00000047644.13"	"WWC3"	23	-0.297926226662453	-0.0157567135181138	0.128703262271781
"ENSG00000073464.7"	"CLCN4"	23	-0.172531861318846	-0.0150478704203339	0.209720636195481
"ENSG00000101871.10"	"MID1"	23	-0.120953778580274	-0.0327734170746628	0.256186814757184
"ENSG00000004961.10"	"HCCS"	23	-0.0952956952598739	0.00438559707205274	0.230493119181311
"ENSG00000047648.17"	"ARHGAP6"	23	-0.0841546784414355	-0.00240142289170092	0.226437889153867
