"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000198223.10"	"CSF2RA"	"X"	-0.0148223388220088	-0.00413730628168381	0.0288125493686323
"ENSG00000185291.6"	"IL3RA"	"X"	-0.0249444416383801	-0.00130258905131368	0.015310730652825
"ENSG00000169100.8"	"SLC25A6"	"X"	-0.0341285296513482	-0.00258696082883459	0.0125915967782282
"ENSG00000169093.10"	"ASMTL"	"X"	-0.0330487581149368	0.00326183408505709	0.0116114511379038
"ENSG00000182162.5"	"P2RY8"	"X"	-0.0149138207755185	0.0251427424795681	-0.000154175027977273
"ENSG00000197976.6"	"AKAP17A"	"X"	-0.0116388995959426	0.0241960357583049	-0.0114103099946931
"ENSG00000196433.7"	"ASMT"	"X"	-0.0102387217604675	0.0188577622675881	-0.0190483887278517
"ENSG00000169084.8"	"DHRSX"	"X"	0.0515153031973172	-0.130638910828321	-0.0997842501102061
"ENSG00000214717.5"	"ZBED1"	"X"	0.0105442072469321	-0.119230362476246	-0.127266549753545
"ENSG00000002586.13"	"CD99"	"X"	-0.00969055699273468	-0.165511554511592	-0.128096907366834
"ENSG00000124343.8"	"XG"	"X"	0.00313738387132666	-0.177283320281168	-0.130987923892346
"ENSG00000056998.14"	"GYG2"	"X"	-0.010378234152898	-0.171970834225732	-0.109047593533387
"ENSG00000006756.11"	"ARSD"	"X"	-0.00447308995406225	-0.166811065224101	-0.0740282946317536
"ENSG00000157399.10"	"ARSE"	"X"	0.00482072248539602	-0.160030781686503	-0.0702729232102227
"ENSG00000205667.2"	"ARSH"	"X"	0.0220507274096292	-0.170290279533711	-0.067972760685638
"ENSG00000062096.10"	"ARSF"	"X"	0.0345008434812215	-0.178216377448621	-0.0769348895014452
"ENSG00000228459.2"	"CXorf28"	"X"	0.0183056677817557	-0.143978364886331	-0.117906997582788
"ENSG00000101825.7"	"MXRA5"	"X"	0.0178413607490223	-0.139351628668903	-0.11983009801619
"ENSG00000183943.5"	"PRKX"	"X"	0.019876910823104	-0.155673219340629	-0.086661543122009
"ENSG00000205664.6"	"RP11-706O15.1"	"X"	-0.00679477085723165	-0.144020829078944	-0.077126884829374
"ENSG00000146938.10"	"NLGN4X"	"X"	-0.0673913976231818	-0.177834762753608	0.0657988612680263
"ENSG00000169059.8"	"VCX3A"	"X"	-0.118135296132241	-0.133555023267714	0.0832747138632464
"ENSG00000130021.9"	"HDHD1"	"X"	-0.042560236836015	-0.149053405476361	0.0879052622322947
"ENSG00000101846.6"	"STS"	"X"	-0.0903566805798444	-0.140529307934949	0.0626286545647647
"ENSG00000182583.8"	"VCX"	"X"	-0.0597865686468967	-0.123792653486023	0.00720921041110568
"ENSG00000006757.7"	"PNPLA4"	"X"	-0.0708114540951694	-0.124534465153072	0.00682406000973938
"ENSG00000177504.9"	"VCX2"	"X"	-0.0195629114307167	-0.185378470671527	0.0165282962753231
"ENSG00000205642.5"	"VCX3B"	"X"	-0.0564777671510276	-0.157076479035472	-0.0266236396611867
"ENSG00000011201.6"	"KAL1"	"X"	-0.0594910059655448	-0.150117562540988	-0.0226321424195884
"ENSG00000183304.6"	"FAM9A"	"X"	-0.07001217658702	-0.160338190773013	0.0461482320253649
"ENSG00000177138.11"	"FAM9B"	"X"	-0.0772920742320913	-0.201570222051974	-0.00917926970386982
"ENSG00000101849.11"	"TBL1X"	"X"	-0.0471103958628681	-0.145250254275372	0.0340329338548891
"ENSG00000101850.8"	"GPR143"	"X"	-0.0539852783268931	-0.149819132926794	-0.0255309728410537
"ENSG00000146950.8"	"SHROOM2"	"X"	-0.0378948179509276	-0.153840393689303	-0.0367125903977783
"ENSG00000234469.2"	"AC002365.1"	"X"	-0.000286496438459547	-0.164268044941975	-0.0069485907061578
"ENSG00000047644.13"	"WWC3"	"X"	0.00340589221644308	-0.168308819372221	-0.00115114050578336
"ENSG00000073464.7"	"CLCN4"	"X"	-0.00807491924344841	-0.155265157956098	-0.0619491251045182
"ENSG00000101871.10"	"MID1"	"X"	0.0340118016398956	-0.181408337422769	-0.0747007016654402
"ENSG00000004961.10"	"HCCS"	"X"	0.022148153032894	-0.14927623752807	-0.0205076987598558
"ENSG00000047648.17"	"ARHGAP6"	"X"	0.0177981523373976	-0.151685763327678	-0.0128511349944174
"ENSG00000125363.10"	"AMELX"	"X"	0.0033202310671401	-0.198553432733887	-0.0200569823544925
"ENSG00000005302.13"	"MSL3"	"X"	-0.0379354316765508	-0.143659203836436	-0.0138094088973997
"ENSG00000169933.8"	"FRMPD4"	"X"	-0.0243603377097779	-0.168860888733559	-0.0704807102725169
"ENSG00000101911.8"	"PRPS2"	"X"	-0.0261580909720893	-0.14952317826824	-0.0163259573515996
"ENSG00000196664.4"	"TLR7"	"X"	-0.00795400135536132	-0.125907233512941	-0.0160303217944132
"ENSG00000101916.11"	"TLR8"	"X"	-0.0132228117577269	-0.127003676129113	-0.020274070558085
"ENSG00000205542.6"	"TMSB4X"	"X"	0.000949305359716595	-0.110938495165959	-0.0499068923857965
"ENSG00000187268.7"	"FAM9C"	"X"	0.0040526541977238	-0.129681026503727	-0.0190975293575159
"ENSG00000123594.3"	"ATXN3L"	"X"	-0.0419154573535587	-0.145437633316675	-0.0178526293530837
"ENSG00000198759.7"	"EGFL6"	"X"	-0.0132365779429655	-0.186272571541734	-0.0609001807268313
"ENSG00000176896.7"	"TCEANC"	"X"	0.0108100774372006	-0.177650355811923	-0.0495990323958192
"ENSG00000123595.5"	"RAB9A"	"X"	0.0258100905815802	-0.182108398062489	-0.0365990894657695
"ENSG00000196459.9"	"TRAPPC2"	"X"	0.0264204882828405	-0.18095137131851	-0.0375412471522417
"ENSG00000046651.10"	"OFD1"	"X"	0.0266649420531939	-0.181984208778242	-0.0391109972128843
"ENSG00000046653.10"	"GPM6B"	"X"	0.0178959811759958	-0.195674268657352	-0.0324412642140159
"ENSG00000046647.9"	"GEMIN8"	"X"	0.0298192611774676	-0.171379803516475	-0.0579026583385775
"ENSG00000101958.9"	"GLRA2"	"X"	0.0839829378093525	-0.16837366038903	-0.103532693545465
"ENSG00000181544.9"	"FANCB"	"X"	0.0409309246966203	-0.144157346576535	-0.124631695860908
"ENSG00000130150.7"	"MOSPD2"	"X"	0.0374899248534516	-0.135714109819097	-0.125383682744936
"ENSG00000102048.11"	"ASB9"	"X"	0.01966800867949	-0.139414009300744	-0.0105836947210449
"ENSG00000165192.9"	"ASB11"	"X"	-0.00366872806798462	-0.129903115764586	-0.0058278189979458
"ENSG00000165195.9"	"PIGA"	"X"	-0.0218126612267681	-0.140031876302193	-0.00410268633797222
"ENSG00000165197.4"	"FIGF"	"X"	-0.0386716759734639	-0.151397702443091	-0.0171966887227648
"ENSG00000087842.6"	"PIR"	"X"	-0.0462305352169719	-0.146272811585988	-0.0242383544206004
"ENSG00000102010.10"	"BMX"	"X"	-0.0415711283224617	-0.151099351866736	-0.012455632508473
"ENSG00000130234.6"	"ACE2"	"X"	-0.0445627191362293	-0.164729411876359	-0.000918915754755157
"ENSG00000147003.5"	"TMEM27"	"X"	-0.0224047854884973	-0.18277378324623	0.00989193939904327
"ENSG00000169239.8"	"CA5B"	"X"	-0.0245145070961778	-0.198756811370238	-0.00527079570325398
"ENSG00000169249.8"	"ZRSR2"	"X"	-0.00269126740011048	-0.209457334173496	-0.0170323577634083
"ENSG00000182287.9"	"AP1S2"	"X"	-0.0103056664015164	-0.209808560324356	-0.02580054635151
"ENSG00000126010.5"	"GRPR"	"X"	-0.00877082698101623	-0.169071321567882	-0.0573258279637644
"ENSG00000182798.6"	"MAGEB17"	"X"	-0.0119793279995788	-0.17188453681159	-0.063976782554076
"ENSG00000047230.10"	"CTPS2"	"X"	0.0197092861503409	-0.120715598025393	-0.0615272307652416
"ENSG00000169906.5"	"S100G"	"X"	0.0205393182825557	-0.124562398849558	-0.0454517109155558
"ENSG00000169895.5"	"SYAP1"	"X"	0.0263286330550469	-0.145953568385307	-0.0223689259732816
"ENSG00000086712.8"	"TXLNG"	"X"	0.04042604883289	-0.167712835579071	-0.0191480356605742
"ENSG00000102054.13"	"RBBP7"	"X"	0.0552431070471256	-0.174331224093705	-0.0302095437759945
"ENSG00000169891.13"	"REPS2"	"X"	0.0650134904961213	-0.174318028140735	-0.0489646691201287
"ENSG00000188158.10"	"NHS"	"X"	-0.00212667248187556	-0.143592770392247	-0.0761554159751388
"ENSG00000047634.10"	"SCML1"	"X"	0.0294969659717353	-0.136307224045093	-0.0157596843632051
"ENSG00000131831.13"	"RAI2"	"X"	0.0143237787639844	-0.163300589675913	-0.000194769689114206
"ENSG00000177324.9"	"BEND2"	"X"	-0.0288411341674181	-0.15722267439914	-0.016924329222504
"ENSG00000102098.13"	"SCML2"	"X"	-0.0330369502853371	-0.163681265976849	-0.0369114378498778
"ENSG00000008086.6"	"CDKL5"	"X"	0.0316895199118289	-0.146994836035633	-0.0606406691867092
"ENSG00000102104.8"	"RS1"	"X"	0.0397839256338063	-0.138689081764382	-0.0257356342783611
"ENSG00000086717.14"	"PPEF1"	"X"	0.0316578949671706	-0.126416651827646	-0.0262753791804065
"ENSG00000044446.7"	"PHKA2"	"X"	0.0234747992583735	-0.122956113572011	-0.0555540036805787
"ENSG00000173698.13"	"GPR64"	"X"	0.014791799845364	-0.149417706321202	-0.0800746753477652
"ENSG00000131828.9"	"PDHA1"	"X"	0.0043447867492774	-0.175283957520592	-0.0653105730918408
"ENSG00000180815.10"	"MAP3K15"	"X"	0.0139404838890134	-0.179644522697503	-0.0626177818330662
"ENSG00000147010.13"	"SH3KBP1"	"X"	0.0269165679881433	-0.183163448032063	-0.0206269205933744
"ENSG00000173681.12"	"CXorf23"	"X"	0.0587056179924147	-0.149392391815404	-0.0485723988683343
"ENSG00000184368.11"	"MAP7D2"	"X"	0.0803727571640228	-0.12807246360848	-0.0711972314133616
"ENSG00000173674.6"	"EIF1AX"	"X"	0.062748760165245	-0.11593927767611	-0.0852477908882888
"ENSG00000177189.8"	"RPS6KA3"	"X"	0.0502739054955891	-0.110052874443917	-0.0804808800655037
"ENSG00000149970.10"	"CNKSR2"	"X"	-0.00595288053566516	-0.184106369382109	-0.00870623349020462
"ENSG00000185915.4"	"KLHL34"	"X"	0.046428132844904	-0.148160547060862	-0.00193872986660246
"ENSG00000091482.5"	"SMPX"	"X"	0.0333192100279586	-0.140074058216619	-0.000336328928308636
"ENSG00000012174.7"	"MBTPS2"	"X"	0.00381853999293176	-0.119420643875389	-0.0232880872871744
"ENSG00000230797.2"	"YY2"	"X"	0.00344617163090967	-0.119161066501944	-0.0240427313459498
"ENSG00000102172.11"	"SMS"	"X"	-0.0127546758539314	-0.12096579109904	-0.0261486720484043
"ENSG00000102174.7"	"PHEX"	"X"	-4.09543813890335e-05	-0.136341913651069	-0.0251643362567938
"ENSG00000175809.3"	"ZNF645"	"X"	-0.00976297882880554	-0.12877841413112	0.0403203082218382
"ENSG00000184735.5"	"DDX53"	"X"	-0.0609628858213629	-0.155940089557297	0.031759436712355
"ENSG00000165186.9"	"PTCHD1"	"X"	0.000677494317873409	-0.135821488007717	0.0042718310373933
"ENSG00000123131.8"	"PRDX4"	"X"	-0.0212648799952347	-0.133891851512786	0.0675779067105369
"ENSG00000123130.12"	"ACOT9"	"X"	0.00362096593904328	-0.142687191678986	0.0750061507093096
"ENSG00000130066.12"	"SAT1"	"X"	0.00757624576125696	-0.157155247704086	0.077195717754896
"ENSG00000184831.9"	"APOO"	"X"	0.0209966674809777	-0.158435849026745	0.0648639861371199
"ENSG00000165182.6"	"CXorf58"	"X"	0.00401866703185449	-0.156444383761253	0.0735599938373028
"ENSG00000174010.9"	"KLHL15"	"X"	-0.0221692881620281	-0.175556899319957	0.0523466506022659
"ENSG00000130741.6"	"EIF2S3"	"X"	-0.0164110233130525	-0.151233530941972	0.0127015882138356
"ENSG00000005889.11"	"ZFX"	"X"	-0.0213008295784311	-0.150961520205405	0.0044590991323638
"ENSG00000067992.8"	"PDK3"	"X"	0.0216957492214861	-0.11064264038225	-0.00474084986394215
"ENSG00000102230.9"	"PCYT1B"	"X"	0.0365005646249486	-0.116272246523982	-0.0185734105541211
"ENSG00000101868.6"	"POLA1"	"X"	0.0424255633458146	-0.137890279681229	0.00693905179830853
"ENSG00000004848.6"	"ARX"	"X"	0.0639983863603058	-0.18294695781385	-0.046788251220906
"ENSG00000176774.5"	"MAGEB18"	"X"	0.00893095643720507	-0.164160597724825	0.0621865059182845
"ENSG00000176746.6"	"MAGEB6"	"X"	0.00596713417106708	-0.165123357179234	0.0766212015894034
"ENSG00000188408.4"	"MAGEB5"	"X"	0.000922831091845077	-0.164143295574415	0.0812003309523703
"ENSG00000189186.6"	"DCAF8L2"	"X"	-0.0607401963987992	-0.138311097202209	0.080956503497452
"ENSG00000177689.9"	"MAGEB10"	"X"	-0.0254570385598169	-0.088129667012581	0.0750323307449095
"ENSG00000226372.1"	"DCAF8L1"	"X"	-0.0148603394304167	-0.143125307485181	0.0628388964006411
"ENSG00000169306.5"	"IL1RAPL1"	"X"	-0.0364452846276203	-0.112283264010352	0.0566202983529978
