"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000184895.6"	"SRY"	24	0.0541134931917345	0.0200169079955066	-0.0363781937822639
"ENSG00000129824.11"	"RPS4Y1"	24	0.0209403846889829	-0.0610228089605285	-0.0251308779504593
"ENSG00000067646.7"	"ZFY"	24	-0.0197956850369768	-0.0248932811170574	0.0444265076912113
"ENSG00000176679.8"	"TGIF2LY"	24	-0.0346538168347247	0.00427923504202455	-0.0448528937980365
"ENSG00000099715.10"	"PCDH11Y"	24	-0.170299944797022	0.231142580327074	0.172694449065073
"ENSG00000269464.1"	"AC012067.1"	24	-0.0300412387205761	0.202469049406817	0.133273233435279
"ENSG00000168757.8"	"TSPY2"	24	0.122425290717735	0.00539042928643659	0.00299598864010479
"ENSG00000099721.9"	"AMELY"	24	0.0891460659302482	0.0389299518836819	0.0936726637581567
"ENSG00000092377.9"	"TBL1Y"	24	0.0995559650371805	0.0833571585241294	0.0719265112579493
"ENSG00000233803.4"	"TSPY4"	24	-0.0368595747997479	0.0192536402544102	0.0444072060098147
"ENSG00000229549.4"	"TSPY8"	24	0.0397870499797298	0.0611374157119717	0.0185481638455607
"ENSG00000228927.5"	"TSPY3"	24	0.0308794728666608	0.0535556506605801	0.0625671061070618
"ENSG00000258992.1"	"TSPY1"	24	0.0308794728666608	0.0535556506605801	0.0625671061070618
"ENSG00000238074.3"	"TSPY6P"	24	-0.0286458922194366	0.0572916695820894	0.0572822666131178
"ENSG00000236424.3"	"TSPY10"	24	0.0165872396568149	0.106622460969148	0.0481202687193519
"ENSG00000224336.1"	"FAM197Y1"	24	-0.002779830252925	0.0810254578194045	0.0384199743130306
"ENSG00000183704.6"	"SLC9B1P1"	24	0.138747063520246	-0.0257829567656457	0.0787008711444496
"ENSG00000114374.8"	"USP9Y"	24	0.181732846592356	-0.0641009877475218	0.22514142800032
"ENSG00000067048.12"	"DDX3Y"	24	0.0920106591133737	-0.00574524630336196	0.0960126662356149
"ENSG00000183878.11"	"UTY"	24	-0.0770144891858963	0.00935243646830319	0.00324325530262183
"ENSG00000269291.1"	"AC010877.1"	24	-0.0545453973078225	-0.0189772774880008	0.0529346437125115
"ENSG00000154620.5"	"TMSB4Y"	24	-0.0100776650672696	-0.0494401120428341	0.0365112040301494
"ENSG00000129864.6"	"VCY"	24	-0.0669820448031196	-0.0406231870481005	0.0153340384547163
"ENSG00000165246.8"	"NLGN4Y"	24	-0.0483245194829588	0.0473374141120702	-0.0247530468937887
"ENSG00000182415.8"	"CDY2A"	24	0.0687573417946695	0.205572203573791	0.00493208064663688
"ENSG00000172468.9"	"HSFY1"	24	0.0396087244908376	0.234423498450972	0.0239729246440353
"ENSG00000269084.1"	"AC009977.1"	24	0.0152194048412637	0.108725783641251	-0.0447237847059886
"ENSG00000012817.11"	"KDM5D"	24	-0.0386587008841515	0.0552782077462997	-0.0634214376416662
"ENSG00000198692.5"	"EIF1AY"	24	0.0670418529192154	-0.00105214204676481	-0.0701715427697055
"ENSG00000157828.5"	"RPS4Y2"	24	0.0120594699406728	0.00640297093750272	-0.108603059037256
"ENSG00000183146.4"	"CYorf17"	24	-0.100858985035075	-0.0280862813737142	-0.0882033465215844
"ENSG00000234414.3"	"RBMY1A1"	24	-0.0698801146478346	0.0244788341449798	-0.0968387598461486
"ENSG00000242875.2"	"RBMY1B"	24	-0.0698801146478346	0.0244788341449798	-0.0968387598461486
"ENSG00000226941.3"	"RBMY1J"	24	-0.28225960839914	0.00295237307319663	-0.352586750463156
"ENSG00000169789.6"	"PRY"	24	-0.231199370461511	0.00336840957943546	-0.309263057683957
"ENSG00000185894.4"	"BPY2C"	24	-0.149913772452139	-0.00393433762737808	-0.101274839299992
