"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000000003.10"	"TSPAN6"	"X"	0.0654307505499929	0.0296886332303021	0.0683755411178613
"ENSG00000000005.5"	"TNMD"	"X"	0.078946082537088	0.00816191102574216	0.0760624307111171
"ENSG00000000419.8"	"DPM1"	"20"	0.0767343221013599	-0.0377833122800905	-0.0478606388105184
"ENSG00000000457.9"	"SCYL3"	"1"	0.0593757818958037	-0.248798961884456	-0.0790475684237357
"ENSG00000000460.12"	"C1orf112"	"1"	0.0976883537067853	-0.212603900079062	-0.0545335465680157
"ENSG00000000938.8"	"FGR"	"1"	-0.0602563910083865	0.0444409885239448	-0.178213739963865
"ENSG00000000971.11"	"CFH"	"1"	0.146313131676758	0.0176988572527088	-0.00201646539997156
"ENSG00000001036.9"	"FUCA2"	"6"	0.0748478876096379	-0.0198016370961162	0.112407480488503
"ENSG00000001084.6"	"GCLC"	"6"	-0.0222172610586021	0.0994401953597941	0.0319624018829317
"ENSG00000001167.10"	"NFYA"	"6"	-0.0716307496861588	0.109648556875973	0.100749348685332
"ENSG00000001460.13"	"STPG1"	"1"	-0.124893246320005	0.0481475495994033	-0.192487398321555
"ENSG00000001461.12"	"NIPAL3"	"1"	-0.101956429389669	0.0720581010356689	-0.203305216308696
"ENSG00000001497.12"	"LAS1L"	"X"	-0.23700910838845	0.0339266680459737	0.120796336765615
"ENSG00000001561.6"	"ENPP4"	"6"	-0.092538804316692	0.0240196547220592	0.0611316047056977
"ENSG00000001617.7"	"SEMA3F"	"3"	0.20408826442093	-0.0628159551279589	-0.157725872159467
"ENSG00000001626.10"	"CFTR"	"7"	-0.0939249416156229	-0.0940675555810524	0.106868259842031
"ENSG00000001629.5"	"ANKIB1"	"7"	-1.36200652653295e-05	0.00686475248462099	0.186227071361885
"ENSG00000001630.11"	"CYP51A1"	"7"	0.0213866380225818	-0.0309499395894766	0.16937210381143
"ENSG00000001631.10"	"KRIT1"	"7"	-0.0170235628454544	-0.02440486166871	0.183377740377951
"ENSG00000002016.12"	"RAD52"	"12"	-0.0361517714246155	-0.00876433767571012	-0.0168052315387016
"ENSG00000002330.9"	"BAD"	"11"	-0.0951711354169617	0.01226026289319	0.061797315079377
"ENSG00000002549.8"	"LAP3"	"4"	0.122685681463517	0.0235730801175837	0.0934314147770303
"ENSG00000002586.13"	"CD99"	"X"	0.0127504516566421	-0.168703096635929	-0.104884397746533
"ENSG00000002587.5"	"HS3ST1"	"4"	0.0407280667229608	0.127716722373957	0.116507010946893
"ENSG00000002726.15"	"AOC1"	"7"	0.136525990387597	-0.0383157559884415	0.068517426415589
"ENSG00000002745.8"	"WNT16"	"7"	-0.00165680916979853	0.00568913540253501	0.0896534118564638
"ENSG00000002746.10"	"HECW1"	"7"	0.0259908304419935	0.0883778500159499	-0.0947219794700992
"ENSG00000002822.11"	"MAD1L1"	"7"	-0.0323396938893363	-0.00133208567608274	-0.0370770839336186
"ENSG00000002834.13"	"LASP1"	"17"	-0.0569081326422753	0.0606982942074085	0.0331929784186773
"ENSG00000002919.10"	"SNX11"	"17"	-0.038101923389238	0.0144283972293376	-0.0664138629766222
"ENSG00000002933.3"	"TMEM176A"	"7"	0.122031297291863	-0.0454848166267904	0.0777990311327753
"ENSG00000003056.3"	"M6PR"	"12"	0.111360162431375	-0.0975647439846837	-0.0702924381646483
"ENSG00000003096.9"	"KLHL13"	"X"	0.0702094307366115	0.152592236067335	0.0256652355653746
"ENSG00000003137.4"	"CYP26B1"	"2"	-0.078199044536034	-0.0822698213061471	0.0995040519580546
"ENSG00000003147.13"	"ICA1"	"7"	-0.102628524513609	0.0522146567182069	-0.129348502648455
"ENSG00000003393.10"	"ALS2"	"2"	0.178244537005397	0.0488788290053946	-0.0589385554786951
"ENSG00000003400.10"	"CASP10"	"2"	0.144650202335692	0.0675470457883179	0.00404777885403713
"ENSG00000003402.15"	"CFLAR"	"2"	0.14245156261324	0.0703043503282986	0.000945868866256724
"ENSG00000003436.10"	"TFPI"	"2"	0.101506203278722	0.0589406143815293	-0.0671302822787331
"ENSG00000003509.11"	"NDUFAF7"	"2"	-0.0316627809719646	-0.155244044433401	0.0436513546866466
"ENSG00000003756.12"	"RBM5"	"3"	0.199464019522545	-0.0392586754881399	-0.175086570369984
"ENSG00000003987.9"	"MTMR7"	"8"	-0.109090056800023	0.0460124615807515	-0.153719544272094
"ENSG00000003989.12"	"SLC7A2"	"8"	-0.0868308905006814	0.0326225726400781	-0.0850374613070823
"ENSG00000004059.6"	"ARF5"	"7"	0.0275700938408342	-0.0544141085440147	0.149426757150214
"ENSG00000004139.9"	"SARM1"	"17"	-0.0210872620396583	0.0055697526069676	-0.0214949550802931
"ENSG00000004142.7"	"POLDIP2"	"17"	-0.0156756726032617	0.00991485037708998	-0.0245580373774682
"ENSG00000004399.8"	"PLXND1"	"3"	0.0449000572451154	0.0511374877757811	-0.0867351389044698
"ENSG00000004455.12"	"AK2"	"1"	-0.112484819389105	0.0161945525394532	-0.190229431665773
"ENSG00000004468.8"	"CD38"	"4"	0.142966815577237	0.0518141991534641	0.101399278038491
"ENSG00000004478.5"	"FKBP4"	"12"	0.119106009190149	-0.11520648295665	-0.109261797631145
"ENSG00000004487.11"	"KDM1A"	"1"	-0.0934062084000184	0.115836043490727	-0.196629152262286
