"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000198223.10"	"CSF2RA"	23	0.00184243034667208	0.00908840500829075	0.0358513739770164
"ENSG00000185291.6"	"IL3RA"	23	0.00478779882997044	0.0065249506321982	0.0351379614534034
"ENSG00000169100.8"	"SLC25A6"	23	-0.0127666486076751	0.0130108910061941	0.0346919125612444
"ENSG00000169093.10"	"ASMTL"	23	-0.0189235426042721	0.0217591423362572	0.0256757403939112
"ENSG00000182162.5"	"P2RY8"	23	0.000856560274036577	0.0303483965871018	-0.00717473443980574
"ENSG00000197976.6"	"AKAP17A"	23	0.00585467438404517	0.0275749789422674	-0.0166125633692335
"ENSG00000196433.7"	"ASMT"	23	-0.00224629680221159	0.0252278105566778	-0.017582410110711
"ENSG00000169084.8"	"DHRSX"	23	-0.0627347476633809	-0.232352549428554	-0.13105905546699
"ENSG00000214717.5"	"ZBED1"	23	-0.0662164067174488	-0.262690864170181	-0.1925106491537
"ENSG00000002586.13"	"CD99"	23	0.0027458868862608	-0.26713542864625	-0.164159231240126
"ENSG00000124343.8"	"XG"	23	0.00623079938937318	-0.263036634094495	-0.157955649789311
"ENSG00000056998.14"	"GYG2"	23	-0.00356455626518674	-0.273128233414558	-0.161136981335692
"ENSG00000006756.11"	"ARSD"	23	-0.0366291501951599	-0.315046633501339	-0.151352156957557
"ENSG00000157399.10"	"ARSE"	23	-0.0424950573241967	-0.314405887010111	-0.147291370627719
"ENSG00000205667.2"	"ARSH"	23	-0.0460831735070026	-0.302229597074314	-0.123807564928451
"ENSG00000062096.10"	"ARSF"	23	-0.0484192543858127	-0.302001813691103	-0.124889266097641
"ENSG00000228459.2"	"CXorf28"	23	0.00487058907533258	-0.243801898540977	-0.127909387987369
"ENSG00000101825.7"	"MXRA5"	23	-0.00455138098661045	-0.23177518569165	-0.125175232554411
"ENSG00000183943.5"	"PRKX"	23	-0.0169293542741365	-0.258399858695248	-0.100071901388487
"ENSG00000205664.6"	"RP11-706O15.1"	23	0.00577238978706199	-0.263741971408074	-0.0804807626617594
"ENSG00000146938.10"	"NLGN4X"	23	0.0844824667079706	-0.199382233725183	0.0905034403542386
"ENSG00000169059.8"	"VCX3A"	23	0.0404887471853277	-0.165759914162128	0.168577431839994
"ENSG00000130021.9"	"HDHD1"	23	0.0492141828359284	-0.164143271208778	0.0996920546435782
"ENSG00000101846.6"	"STS"	23	0.0565397448679132	-0.199204892372397	0.118866134733278
"ENSG00000182583.8"	"VCX"	23	0.0338121141593902	-0.158602637141399	0.158121383584953
"ENSG00000006757.7"	"PNPLA4"	23	0.0329365565904165	-0.159479445619677	0.145857786690674
"ENSG00000177504.9"	"VCX2"	23	0.0262735428711716	-0.186787866655183	0.142132598757642
"ENSG00000205642.5"	"VCX3B"	23	0.0793227798475215	-0.209271656662248	0.131197517462825
"ENSG00000011201.6"	"KAL1"	23	0.0822741775165746	-0.20524079539271	0.126758632091434
"ENSG00000183304.6"	"FAM9A"	23	0.0283907131342835	-0.234509511996066	0.109358540282944
"ENSG00000177138.11"	"FAM9B"	23	0.0637736785805323	-0.220279303920698	0.0599768268525065
"ENSG00000101849.11"	"TBL1X"	23	0.0707794179354675	-0.216449285713284	0.0914915986278928
"ENSG00000101850.8"	"GPR143"	23	0.046126053461865	-0.208793754827498	0.029219029106981
"ENSG00000146950.8"	"SHROOM2"	23	0.0295975914080386	-0.220027849295613	0.0293082897107274
"ENSG00000234469.2"	"AC002365.1"	23	0.0182439123341674	-0.252984403541082	0.0624242337769871
"ENSG00000047644.13"	"WWC3"	23	0.0297044233330793	-0.27093805017406	0.060022966352715
"ENSG00000073464.7"	"CLCN4"	23	0.045517235426237	-0.29270175114639	-0.0223244113022675
"ENSG00000101871.10"	"MID1"	23	-0.00525107040292183	-0.264161444273478	-0.0611497267990492
"ENSG00000004961.10"	"HCCS"	23	0.0521895139422525	-0.233898867150067	0.00163635561901596
"ENSG00000047648.17"	"ARHGAP6"	23	0.0475761960676004	-0.234839256253787	0.00571355200000604
"ENSG00000125363.10"	"AMELX"	23	0.0473231481058271	-0.265466647751232	0.0564136747130597
"ENSG00000005302.13"	"MSL3"	23	0.0344665596571592	-0.201635638626282	0.0628480164789618
"ENSG00000169933.8"	"FRMPD4"	23	0.0622508746095233	-0.205044059134896	0.0476189274906023
"ENSG00000101911.8"	"PRPS2"	23	0.0434059142575107	-0.216176079805438	0.107088362814326
"ENSG00000196664.4"	"TLR7"	23	0.0331040961694976	-0.243253106445435	0.105902605936642
"ENSG00000101916.11"	"TLR8"	23	0.0469606344563478	-0.241995058882848	0.104542581938471
"ENSG00000205542.6"	"TMSB4X"	23	0.0496247517039078	-0.264902825790699	0.0763738909984967
"ENSG00000187268.7"	"FAM9C"	23	0.0343016994185988	-0.257201667052575	0.0469290311932012
"ENSG00000123594.3"	"ATXN3L"	23	0.0401700770543381	-0.212195918224141	0.043735469907106
"ENSG00000198759.7"	"EGFL6"	23	0.0146777288777288	-0.216672208537279	-0.0152943161850674
"ENSG00000176896.7"	"TCEANC"	23	0.00678593558006964	-0.242231091000007	-0.00904641428787231
"ENSG00000123595.5"	"RAB9A"	23	0.00132313751899911	-0.260284361996847	-0.0079831782886179
"ENSG00000196459.9"	"TRAPPC2"	23	0.00992501018912719	-0.269574534739419	-0.00778705154823582
"ENSG00000046651.10"	"OFD1"	23	0.0149767451386271	-0.268752338913647	-0.0142103586859292
"ENSG00000046653.10"	"GPM6B"	23	0.0289935679018223	-0.260590819271651	-0.0243430421472587
"ENSG00000046647.9"	"GEMIN8"	23	0.0734275328071721	-0.211115574309012	-0.041843706438884
"ENSG00000101958.9"	"GLRA2"	23	0.0403473637695943	-0.274299186494022	-0.0382901285123148
"ENSG00000181544.9"	"FANCB"	23	0.0230978114421727	-0.219427475478112	-0.00609650749647809
"ENSG00000130150.7"	"MOSPD2"	23	0.0295440626313793	-0.218919898036063	0.00104370477684932
"ENSG00000102048.11"	"ASB9"	23	0.0763666025067235	-0.217091831637337	0.0167002445082593
"ENSG00000165192.9"	"ASB11"	23	0.0818730393598906	-0.236260853214387	0.0372214019214985
"ENSG00000165195.9"	"PIGA"	23	0.0806667927739331	-0.237691318224231	0.0577680098375683
"ENSG00000165197.4"	"FIGF"	23	0.0695617250111181	-0.240954455714879	0.0774211372584313
"ENSG00000087842.6"	"PIR"	23	0.0740010812574323	-0.239337248097732	0.0851790418182006
"ENSG00000102010.10"	"BMX"	23	0.0636779319608271	-0.246217372125707	0.0800620564583614
"ENSG00000130234.6"	"ACE2"	23	0.0463827105275718	-0.250060884209226	0.0833671505648356
"ENSG00000147003.5"	"TMEM27"	23	0.0243112050307696	-0.246544489828621	0.0800261930602685
"ENSG00000169239.8"	"CA5B"	23	0.0198301627572212	-0.230149978500496	0.0803686996875939
"ENSG00000169249.8"	"ZRSR2"	23	0.0212689034488929	-0.196272690117971	0.068767346434655
"ENSG00000182287.9"	"AP1S2"	23	0.0256415232648502	-0.188948074166239	0.0787805061474847
"ENSG00000126010.5"	"GRPR"	23	0.0319710164635874	-0.207724796642558	-0.0181996910776678
"ENSG00000182798.6"	"MAGEB17"	23	0.0473318467320795	-0.206975522742319	-0.0331426961858408
"ENSG00000047230.10"	"CTPS2"	23	-0.00385345647263309	-0.227929523269401	-0.0569178958314983
"ENSG00000169906.5"	"S100G"	23	0.00371460105861919	-0.233607856242738	-0.0536498195932322
"ENSG00000169895.5"	"SYAP1"	23	0.0136652536260796	-0.24352975803187	-0.0539710145170527
