"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000101574.10"	"METTL4"	18	0.014058273358367	0.0175000222808526	-0.0977089111746955
"ENSG00000080986.8"	"NDC80"	18	-0.00627000207225277	0.0448023341724788	-0.100465242433997
"ENSG00000101596.10"	"SMCHD1"	18	-0.00498708262071221	0.0620530979458974	-0.1141679520648
"ENSG00000132205.6"	"EMILIN2"	18	0.0349341283788291	0.0805944142504012	-0.09813346057821
"ENSG00000101577.5"	"LPIN2"	18	0.0289244615570904	0.0917565739863993	-0.0828447448509394
"ENSG00000101605.8"	"MYOM1"	18	-0.00764811244474571	0.0546006743165001	-0.0772030753584608
"ENSG00000101608.8"	"MYL12A"	18	-0.0239343486281817	0.0663950363776795	-0.0661231713410812
"ENSG00000118680.8"	"MYL12B"	18	-0.0258347028326504	0.0375015998674184	-0.0638678851934902
"ENSG00000177426.16"	"TGIF1"	18	-0.068045899234719	0.0257133339026758	-0.0380367536855445
"ENSG00000170579.10"	"DLGAP1"	18	-0.0770647871504494	0.048194466201053	-0.0354446837402463
"ENSG00000231824.3"	"C18orf42"	18	0.0289352975694186	0.0246451323083818	-0.0609667155908196
"ENSG00000198081.6"	"ZBTB14"	18	0.0617685938992867	0.042419328805989	-0.0837512471093321
"ENSG00000082397.11"	"EPB41L3"	18	0.0574230753446007	0.0336390150368635	-0.107492554512683
"ENSG00000206432.4"	"TMEM200C"	18	0.0725113988718126	-0.0248181085305279	-0.0778525571102582
"ENSG00000154655.10"	"L3MBTL4"	18	0.081067045679577	-0.0196342808999929	-0.0736654571987724
"ENSG00000265944.1"	"RP11-865B13.1"	18	-0.0213169263435022	0.0184729200788986	-0.120798306137902
"ENSG00000088756.8"	"ARHGAP28"	18	-0.0274578906308909	0.0600530280221188	-0.0662154709102179
"ENSG00000101680.9"	"LAMA1"	18	0.00838816602311003	0.0579300564813817	-0.119671476321564
"ENSG00000206422.2"	"LRRC30"	18	0.0437850577942381	-0.0190339972989865	-0.129324254151401
"ENSG00000173482.12"	"PTPRM"	18	0.0773361197383104	-0.0306846668421342	-0.0861815010951198
"ENSG00000268046.1"	"AP001094.1"	18	-0.0361510939829981	-0.0236499704749482	-0.119448464975387
"ENSG00000206418.3"	"RAB12"	18	0.0424528301173108	-0.00178502578176174	-0.120734036690393
"ENSG00000168502.13"	"SOGA2"	18	0.0330961358742103	0.0205711958269854	-0.0795473145227099
"ENSG00000178127.8"	"NDUFV2"	18	-0.00892896387723917	0.0379614237100429	-0.0992681532000447
"ENSG00000101745.11"	"ANKRD12"	18	-0.00722308371982178	0.0340071130171389	-0.101367559884406
"ENSG00000128791.7"	"TWSG1"	18	-0.0302740571617923	0.0252111859420157	-0.0547638633805984
"ENSG00000017797.7"	"RALBP1"	18	-0.0478518199142662	0.0413773380240887	-0.0570693053589022
"ENSG00000154845.11"	"PPP4R1"	18	-0.0508884350318647	0.0550224734286177	-0.0754678226341998
"ENSG00000168461.8"	"RAB31"	18	-0.0729456481637994	0.0377121591845238	-0.10485345071914
"ENSG00000168454.10"	"TXNDC2"	18	-0.0723993687845602	-0.00407519787726912	-0.100567565420058
"ENSG00000101558.9"	"VAPA"	18	-0.0647133484199349	-0.00558368121952676	-0.10289154997233
"ENSG00000154856.8"	"APCDD1"	18	-0.069882311526543	-0.0329846661962471	-0.127198809682693
"ENSG00000134265.8"	"NAPG"	18	-0.0690881516218285	-0.0327435189443599	-0.117689408200417
"ENSG00000154864.7"	"PIEZO2"	18	-0.0201535482804041	-0.0385071078050203	-0.0907917792291751
"ENSG00000141404.11"	"GNAL"	18	-0.0510153411818311	0.0719439415206106	-0.0698166425261097
"ENSG00000255112.2"	"CHMP1B"	18	-0.0288752448135926	0.0611303543968358	-0.0513357324819308
"ENSG00000154889.12"	"MPPE1"	18	-0.0199490070244627	0.0580271971273787	-0.052266473992568
"ENSG00000141401.7"	"IMPA2"	18	-0.0346291176215745	0.0535525646584484	-0.0411635400206341
"ENSG00000181626.10"	"ANKRD62"	18	-0.00632173619345962	0.0272332225113174	-0.0493491835531589
"ENSG00000176194.13"	"CIDEA"	18	-0.00225336865931808	0.0210161680723474	-0.0555496759607918
"ENSG00000176014.8"	"TUBB6"	18	-0.0090504036557271	0.0441813110495376	-0.0717384583423199
"ENSG00000141385.5"	"AFG3L2"	18	-0.00169910939374457	0.0467214590600436	-0.0743393686776741
"ENSG00000141391.9"	"SLMO1"	18	0.00951326765120003	0.0425658279494623	-0.105140123308001
"ENSG00000134278.10"	"SPIRE1"	18	0.0289034369920623	0.0208311426689853	-0.102547693544263
"ENSG00000128789.16"	"PSMG2"	18	0.0177661964447995	0.0310011943435942	-0.104021993044331
"ENSG00000215527.3"	"AP005482.1"	18	0.0177661964447995	0.0310011943435942	-0.104021993044331
"ENSG00000101624.6"	"CEP76"	18	0.0155939548656823	0.0323433472341071	-0.105583865603619
"ENSG00000175354.14"	"PTPN2"	18	-0.0260901772218122	0.00460437182872612	-0.117083337196984
"ENSG00000085415.11"	"SEH1L"	18	-0.0244217612902043	0.0276291212509235	-0.117043199895781
"ENSG00000101639.14"	"CEP192"	18	-0.0332600522102238	0.0493148340009972	-0.115723252293533
"ENSG00000168675.14"	"LDLRAD4"	18	-0.0516149496103372	0.0436172750360045	-0.0983102821137187
"ENSG00000177150.8"	"FAM210A"	18	-0.0293557100138039	0.0234548687140876	-0.0730119675321077
"ENSG00000101654.13"	"RNMT"	18	-0.0239785894035973	0.0247815042771696	-0.07456838845646
"ENSG00000176136.4"	"MC5R"	18	-0.0125356028117871	0.0587639228938793	-0.0540995638080107
"ENSG00000185231.4"	"MC2R"	18	-0.0100865128909091	0.0800312256878502	-0.0496530658568209
"ENSG00000175322.7"	"ZNF519"	18	-0.014439931985124	0.0786220587577322	-0.0518357036001795
"ENSG00000183206.12"	"POTEC"	18	-0.055858270790448	0.0121419373647206	-0.0864532010573621
"ENSG00000180777.9"	"ANKRD30B"	18	-0.0226635027712798	0.0666724804272348	-0.117221065023597
"ENSG00000067900.6"	"ROCK1"	18	0.115180988393809	0.0299973084139589	-0.130194021721671
"ENSG00000141449.10"	"GREB1L"	18	0.181100620751949	-0.0103242018440101	-0.150325006969125
"ENSG00000141446.6"	"ESCO1"	18	0.036201836280095	0.00285703154060116	-0.0274214521166009
"ENSG00000167088.6"	"SNRPD1"	18	0.0390825954543047	0.0188942820429728	0.00387679992783387
"ENSG00000158201.5"	"ABHD3"	18	0.0352074637444456	0.0256809648543113	0.00919355719976103
"ENSG00000101752.7"	"MIB1"	18	0.0211178273327755	0.0343751681102129	0.0155984673681558
