"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000205899.3"	"BHLHA9"	17	-0.0210091517379706	-0.00505367538796247	0.0301620274333697
"ENSG00000184811.3"	"TUSC5"	17	-0.0239574388978741	-0.00743964733639909	0.0298600111205254
"ENSG00000108953.12"	"YWHAE"	17	-0.0277617219185726	-0.00876275663282693	0.0279349016166632
"ENSG00000167193.7"	"CRK"	17	-0.0196592038886571	-0.03913073309973	0.0102267040674806
"ENSG00000197879.10"	"MYO1C"	17	-0.00686198400049552	-0.0371082553936676	0.0161196586353502
"ENSG00000132376.15"	"INPP5K"	17	-0.00433398398205281	-0.0383640287847875	0.0149208865481788
"ENSG00000174238.10"	"PITPNA"	17	0.00128636452835078	-0.0241193334171349	0.0215771006857966
"ENSG00000167703.10"	"SLC43A2"	17	0.0249599814391229	-0.0118690639521916	0.023504075206022
"ENSG00000074660.11"	"SCARF1"	17	0.022271071364683	-0.00840405771438197	0.0167203393814565
"ENSG00000167705.7"	"RILP"	17	0.0216081917301444	-0.00938425015274524	0.0147293367340517
"ENSG00000174231.12"	"PRPF8"	17	0.0236784254083243	-0.00992522168309079	0.00816593073159751
"ENSG00000167716.14"	"WDR81"	17	0.0371107185607419	-0.000320664333642999	-0.00846910797481111
"ENSG00000185561.8"	"TLCD2"	17	0.0371107185607419	-0.000320664333642999	-0.00846910797481111
"ENSG00000167711.9"	"SERPINF2"	17	0.0375461543227406	0.0170182646560617	-0.0136474337503737
"ENSG00000132386.6"	"SERPINF1"	17	0.0323215758812006	0.0251113690078342	-0.0134164833171207
"ENSG00000186532.7"	"SMYD4"	17	0.0307511465036559	0.0163127468564525	-0.0170197062507925
"ENSG00000132383.7"	"RPA1"	17	0.0287002412087367	0.0201899834820087	-0.0205700952335429
"ENSG00000185924.6"	"RTN4RL1"	17	-0.000913402391209851	0.0179454013084777	-0.0434148410626688
"ENSG00000108963.13"	"DPH1"	17	-0.00293984523708961	0.0136156538385746	-0.0452592220114403
"ENSG00000262664.1"	"OVCA2"	17	-0.000839964528733091	0.0108268335715367	-0.0460712127078652
"ENSG00000177374.8"	"HIC1"	17	-0.00654323844053061	0.00697132324845416	-0.0487785088319824
"ENSG00000070366.9"	"SMG6"	17	-0.0136886336650852	-0.00688242699421511	-0.0531473873616787
"ENSG00000167720.8"	"SRR"	17	-0.0733693381015403	-0.0473497223584321	-0.183346781574025
"ENSG00000167721.6"	"TSR1"	17	-0.07840983074719	-0.0538303014699909	-0.189825988267425
"ENSG00000141258.8"	"SGSM2"	17	-0.0825063447760819	-0.0440426782236034	-0.193384013664
"ENSG00000070444.10"	"MNT"	17	-0.0844229443796596	-0.0448597247657405	-0.215957350526472
"ENSG00000127804.8"	"METTL16"	17	-0.0885953748897026	-0.0416915532519598	-0.222567277532178
"ENSG00000205821.4"	"AC006435.1"	17	-0.0854062757892831	-0.0335835919709508	-0.219584841595593
"ENSG00000007168.8"	"PAFAH1B1"	17	-0.0667024678286946	-0.006731000675143	-0.237833406340911
"ENSG00000132361.12"	"CLUH"	17	-0.0686683769852015	-0.00861690476811787	-0.247101178467419
"ENSG00000132359.9"	"RAP1GAP2"	17	-0.031071905392963	-0.0346728866017627	-0.248700555601211
"ENSG00000262628.1"	"OR1D5"	17	-0.040608500603026	-0.0896988660055827	-0.244544278985643
