"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000000003.10"	"TSPAN6"	"X"	-0.105404818177678	-0.0334460647495421	-0.113255428700694
"ENSG00000000005.5"	"TNMD"	"X"	-0.0990601447369729	-0.0482660684985206	-0.118516420016358
"ENSG00000000419.8"	"DPM1"	"20"	-0.0160634521189185	-0.0236378516303777	0.0382884868897779
"ENSG00000000457.9"	"SCYL3"	"1"	-0.0838645393610272	0.287444957542968	0.0679851339451208
"ENSG00000000460.12"	"C1orf112"	"1"	-0.110239969718684	0.294663659459911	0.0707083194344767
"ENSG00000000938.8"	"FGR"	"1"	-0.212855678217412	-0.0643963384715029	-0.133903480771805
"ENSG00000000971.11"	"CFH"	"1"	-0.0298814807291527	0.0500655224070328	0.0924855398114927
"ENSG00000001036.9"	"FUCA2"	"6"	0.0150942803974326	0.122497373185877	0.169148689596868
"ENSG00000001084.6"	"GCLC"	"6"	-0.0827194322062096	-0.134594408905309	-0.0487756480653713
"ENSG00000001167.10"	"NFYA"	"6"	0.0375595136613488	-0.0590196973538767	-0.00414970731234375
"ENSG00000001460.13"	"STPG1"	"1"	-0.253088834598827	-0.117174344542149	-0.10206591884957
"ENSG00000001461.12"	"NIPAL3"	"1"	-0.233874343582606	-0.106340624577874	-0.101508185083428
"ENSG00000001497.12"	"LAS1L"	"X"	-0.087487764162772	0.266311381787067	-0.124859651813096
"ENSG00000001561.6"	"ENPP4"	"6"	0.0302202804755898	-0.16794552512294	0.0204159036443512
"ENSG00000001617.7"	"SEMA3F"	"3"	0.192252996141247	0.0512533550990175	0.036942695568606
"ENSG00000001626.10"	"CFTR"	"7"	-0.0385817235314957	0.0280767036951518	0.137936631123184
"ENSG00000001629.5"	"ANKIB1"	"7"	-0.106510045158032	0.149900836058632	0.0387394123126367
"ENSG00000001630.11"	"CYP51A1"	"7"	-0.0823606539694921	0.135134345848604	0.0681907748733058
"ENSG00000001631.10"	"KRIT1"	"7"	-0.109997569926365	0.145458022217238	0.0328116712309854
"ENSG00000002016.12"	"RAD52"	"12"	-0.0240930096286045	-0.0128763863703025	0.0181648018565591
"ENSG00000002330.9"	"BAD"	"11"	-0.107475481847113	-0.0260422028052406	-0.0852459521132851
"ENSG00000002549.8"	"LAP3"	"4"	0.0253104600226459	0.0110863062016544	-0.26650710095119
"ENSG00000002586.13"	"CD99"	"X"	-0.023241045643229	0.00961721163619767	0.244413615781794
"ENSG00000002587.5"	"HS3ST1"	"4"	-0.0857642147881922	-0.0510600730741739	-0.189353436166249
"ENSG00000002726.15"	"AOC1"	"7"	-0.029140476501521	0.0318786832251646	0.155438934452094
"ENSG00000002745.8"	"WNT16"	"7"	-0.0319058525342424	0.0738468300487743	0.0560508537699108
