"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000198223.10"	"CSF2RA"	"X"	0.00184243034667208	0.00908840500829075	0.0358513739770164
"ENSG00000185291.6"	"IL3RA"	"X"	0.00478779882997044	0.0065249506321982	0.0351379614534034
"ENSG00000169100.8"	"SLC25A6"	"X"	-0.0127666486076751	0.0130108910061941	0.0346919125612444
"ENSG00000169093.10"	"ASMTL"	"X"	-0.0189235426042721	0.0217591423362572	0.0256757403939112
"ENSG00000182162.5"	"P2RY8"	"X"	0.000856560274036577	0.0303483965871018	-0.00717473443980574
"ENSG00000197976.6"	"AKAP17A"	"X"	0.00585467438404517	0.0275749789422674	-0.0166125633692335
"ENSG00000196433.7"	"ASMT"	"X"	-0.00224629680221159	0.0252278105566778	-0.017582410110711
"ENSG00000169084.8"	"DHRSX"	"X"	-0.0627347476633809	-0.232352549428554	-0.13105905546699
"ENSG00000214717.5"	"ZBED1"	"X"	-0.0662164067174488	-0.262690864170181	-0.1925106491537
"ENSG00000002586.13"	"CD99"	"X"	0.0027458868862608	-0.26713542864625	-0.164159231240126
"ENSG00000124343.8"	"XG"	"X"	0.00623079938937318	-0.263036634094495	-0.157955649789311
"ENSG00000056998.14"	"GYG2"	"X"	-0.00356455626518674	-0.273128233414558	-0.161136981335692
"ENSG00000006756.11"	"ARSD"	"X"	-0.0366291501951599	-0.315046633501339	-0.151352156957557
"ENSG00000157399.10"	"ARSE"	"X"	-0.0424950573241967	-0.314405887010111	-0.147291370627719
"ENSG00000205667.2"	"ARSH"	"X"	-0.0460831735070026	-0.302229597074314	-0.123807564928451
"ENSG00000062096.10"	"ARSF"	"X"	-0.0484192543858127	-0.302001813691103	-0.124889266097641
"ENSG00000228459.2"	"CXorf28"	"X"	0.00487058907533258	-0.243801898540977	-0.127909387987369
"ENSG00000101825.7"	"MXRA5"	"X"	-0.00455138098661045	-0.23177518569165	-0.125175232554411
"ENSG00000183943.5"	"PRKX"	"X"	-0.0169293542741365	-0.258399858695248	-0.100071901388487
"ENSG00000205664.6"	"RP11-706O15.1"	"X"	0.00577238978706199	-0.263741971408074	-0.0804807626617594
"ENSG00000146938.10"	"NLGN4X"	"X"	0.0844824667079706	-0.199382233725183	0.0905034403542386
"ENSG00000169059.8"	"VCX3A"	"X"	0.0404887471853277	-0.165759914162128	0.168577431839994
"ENSG00000130021.9"	"HDHD1"	"X"	0.0492141828359284	-0.164143271208778	0.0996920546435782
"ENSG00000101846.6"	"STS"	"X"	0.0565397448679132	-0.199204892372397	0.118866134733278
"ENSG00000182583.8"	"VCX"	"X"	0.0338121141593902	-0.158602637141399	0.158121383584953
"ENSG00000006757.7"	"PNPLA4"	"X"	0.0329365565904165	-0.159479445619677	0.145857786690674
"ENSG00000177504.9"	"VCX2"	"X"	0.0262735428711716	-0.186787866655183	0.142132598757642
"ENSG00000205642.5"	"VCX3B"	"X"	0.0793227798475215	-0.209271656662248	0.131197517462825
"ENSG00000011201.6"	"KAL1"	"X"	0.0822741775165746	-0.20524079539271	0.126758632091434
"ENSG00000183304.6"	"FAM9A"	"X"	0.0283907131342835	-0.234509511996066	0.109358540282944
"ENSG00000177138.11"	"FAM9B"	"X"	0.0637736785805323	-0.220279303920698	0.0599768268525065
"ENSG00000101849.11"	"TBL1X"	"X"	0.0707794179354675	-0.216449285713284	0.0914915986278928
"ENSG00000101850.8"	"GPR143"	"X"	0.046126053461865	-0.208793754827498	0.029219029106981
"ENSG00000146950.8"	"SHROOM2"	"X"	0.0295975914080386	-0.220027849295613	0.0293082897107274
"ENSG00000234469.2"	"AC002365.1"	"X"	0.0182439123341674	-0.252984403541082	0.0624242337769871
"ENSG00000047644.13"	"WWC3"	"X"	0.0297044233330793	-0.27093805017406	0.060022966352715
"ENSG00000073464.7"	"CLCN4"	"X"	0.045517235426237	-0.29270175114639	-0.0223244113022675
"ENSG00000101871.10"	"MID1"	"X"	-0.00525107040292183	-0.264161444273478	-0.0611497267990492
