"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000184895.6"	"SRY"	24	0.0460627756087416	0.062131794666055	-0.00829670114564585
"ENSG00000129824.11"	"RPS4Y1"	24	0.0811363668627111	-0.0499172070384261	-0.00330168845128094
"ENSG00000067646.7"	"ZFY"	24	-0.0227075132315906	-0.059790611866623	-0.0745240720995185
"ENSG00000176679.8"	"TGIF2LY"	24	0.0421430061674145	0.0450440134201809	-0.0178281624422644
"ENSG00000099715.10"	"PCDH11Y"	24	0.118376475681374	0.275104366288208	0.269869677141609
"ENSG00000269464.1"	"AC012067.1"	24	-0.0280669340072448	0.273609190783236	0.279485256407541
"ENSG00000168757.8"	"TSPY2"	24	-0.211652599854862	0.375394857057654	0.176021817345503
"ENSG00000099721.9"	"AMELY"	24	-0.202326598640127	0.38857347804951	0.0649012446232617
"ENSG00000092377.9"	"TBL1Y"	24	-0.14231331067962	0.407401247899623	0.116555655777718
"ENSG00000233803.4"	"TSPY4"	24	-0.0489593321385507	0.179909726885011	0.0196199482074236
"ENSG00000229549.4"	"TSPY8"	24	-0.0547786194448166	0.152172982817824	0.0843995615110135
"ENSG00000228927.5"	"TSPY3"	24	-0.0195063940785668	0.148886778552821	0.084653595650887
"ENSG00000258992.1"	"TSPY1"	24	-0.0195063940785668	0.148886778552821	0.084653595650887
"ENSG00000238074.3"	"TSPY6P"	24	-0.0575345730241536	0.143327526688793	0.117487007317154
"ENSG00000236424.3"	"TSPY10"	24	-0.0866939427998564	0.190127715339718	0.154570309042074
"ENSG00000224336.1"	"FAM197Y1"	24	-0.0825959630911722	0.17289244485856	0.101078005611036
"ENSG00000183704.6"	"SLC9B1P1"	24	-0.149686162195139	0.158279172231402	-0.173527484138078
"ENSG00000114374.8"	"USP9Y"	24	-0.131477419987164	0.157187132341325	-0.371105274919706
"ENSG00000067048.12"	"DDX3Y"	24	-0.0615921775181265	0.0769010927045326	-0.155889161879684
"ENSG00000183878.11"	"UTY"	24	0.0690461192344482	-0.0169580889488508	0.00608640930557498
"ENSG00000269291.1"	"AC010877.1"	24	0.0562733544000656	-0.0285162571613538	-0.0473657809623569
"ENSG00000154620.5"	"TMSB4Y"	24	0.0408821733392297	-0.0611323108167538	0.0229436965761628
"ENSG00000129864.6"	"VCY"	24	-0.0491279910795849	0.039084597678725	-0.0620547180881355
"ENSG00000165246.8"	"NLGN4Y"	24	-0.0112209911027668	-0.0471577899052994	0.0817563428080533
"ENSG00000182415.8"	"CDY2A"	24	-0.169643804514611	-0.0669563491791181	0.201237356566426
"ENSG00000172468.9"	"HSFY1"	24	-0.192536977912924	-0.0949220518722001	0.211184212750156
"ENSG00000269084.1"	"AC009977.1"	24	-0.323975963846049	-0.0937386954207227	0.24920360246438
"ENSG00000012817.11"	"KDM5D"	24	-0.244083103504703	-0.107391525356976	0.145423680682614
"ENSG00000198692.5"	"EIF1AY"	24	-0.34961858308798	-0.176702214403364	0.120321476719414
"ENSG00000157828.5"	"RPS4Y2"	24	-0.320205186847873	-0.0907338902557224	0.0954212213667394
"ENSG00000183146.4"	"CYorf17"	24	-0.162897473114303	-0.274633171103477	0.0728428155885981
"ENSG00000234414.3"	"RBMY1A1"	24	-0.234406636278585	-0.236435711926399	0.0415037185558978
"ENSG00000242875.2"	"RBMY1B"	24	-0.234406636278585	-0.236435711926399	0.0415037185558978
"ENSG00000169807.6"	"PRY2"	24	-0.227998914035122	-0.284453785244016	-0.212409941026796
"ENSG00000226941.3"	"RBMY1J"	24	-0.287136225157792	-0.289877602596386	-0.286881350679185
"ENSG00000169789.6"	"PRY"	24	-0.21360782854497	-0.333964280148598	-0.182734238864779
