"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000176515.1"	"AL033381.1"	6	-0.0423282679549562	0.0288057999005201	-0.0506886695471091
"ENSG00000164379.4"	"FOXQ1"	6	-0.00460193459981869	0.0515632583404609	-0.0404101550808064
"ENSG00000137273.3"	"FOXF2"	6	-0.00647831378797799	-0.00930311677439855	-0.0652940609508504
"ENSG00000054598.5"	"FOXC1"	6	-0.0144434133712369	-0.0490763888964816	0.0486778487859017
"ENSG00000112699.6"	"GMDS"	6	-0.0285268305162763	-0.0443392611874578	0.0549826058336012
"ENSG00000164385.5"	"C6orf195"	6	0.0851235028596697	-0.0172365732885743	0.205026814369756
"ENSG00000145949.8"	"MYLK4"	6	0.090969618636593	-0.0166457166452026	0.190874629945096
"ENSG00000124535.11"	"WRNIP1"	6	0.140119767713425	-0.00461409272973853	0.173824841486166
"ENSG00000021355.8"	"SERPINB1"	6	0.173956063085005	0.00395163550446788	0.175267389453345
"ENSG00000170542.5"	"SERPINB9"	6	0.177091753270971	0.00385400650714078	0.162257909540961
"ENSG00000124570.13"	"SERPINB6"	6	0.178908045505103	0.00856881953831821	0.171369547366843
"ENSG00000124588.15"	"NQO2"	6	0.172531694154633	0.0117173256935687	0.161713775253117
"ENSG00000137275.9"	"RIPK1"	6	0.208165691175259	-0.025477786035597	0.197229180422043
"ENSG00000137274.8"	"BPHL"	6	0.205056074820411	-0.0285319375604762	0.17972871582561
"ENSG00000137267.5"	"TUBB2A"	6	0.222960633284817	-0.0292984101610996	0.155795970808321
"ENSG00000137285.9"	"TUBB2B"	6	0.215504935061438	-0.0273654746925703	0.162272260903368
"ENSG00000180822.7"	"PSMG4"	6	0.21144213729057	-0.0287087874410817	0.164912845209124
"ENSG00000137266.10"	"SLC22A23"	6	0.196383344348299	-0.0297490317485954	0.153094164041064
"ENSG00000168994.9"	"PXDC1"	6	0.12088152603339	-0.028000763185386	0.138553630031041
"ENSG00000145945.5"	"FAM50B"	6	0.140813302939569	0.0392323621892607	0.134835874709588
"ENSG00000145965.5"	"C6ORF50"	6	0.145398216809402	0.0274348814527969	0.134114956134152
"ENSG00000112739.12"	"PRPF4B"	6	0.125557317632203	0.0013341173234443	0.128599567499533
"ENSG00000145975.9"	"FAM217A"	6	0.141551863276798	0.00462814464063113	0.112796494480761
"ENSG00000185689.11"	"C6orf201"	6	0.142728592449755	0.00352800753883573	0.106750487355158
"ENSG00000198721.8"	"ECI2"	6	0.145377314196392	0.0137536333378976	0.112454125820327
"ENSG00000153046.13"	"CDYL"	6	0.152945153640554	0.0622891305517915	0.183404103107899
"ENSG00000124787.9"	"RPP40"	6	0.190976063506248	0.0769273579906824	0.124484423120989
"ENSG00000219607.2"	"PPP1R3G"	6	0.170189495822972	0.100782569757924	0.103255264588437
"ENSG00000214113.6"	"LYRM4"	6	0.165811929514365	0.0984657445628046	0.0991159631053717
"ENSG00000145982.7"	"FARS2"	6	0.185444687641217	0.142768339564391	0.104032756753434
"ENSG00000124785.4"	"NRN1"	6	0.071386216330644	0.158115949193183	0.0720887510091144
"ENSG00000124491.11"	"F13A1"	6	0.0579557169437974	0.11814247890811	0.0544787717215049
"ENSG00000112799.4"	"LY86"	6	0.0622536969756723	0.191193517583245	0.114128945681895
"ENSG00000124782.15"	"RREB1"	6	-0.00993843971912037	0.224737002232903	0.0779668912673693
"ENSG00000124783.8"	"SSR1"	6	0.0215248608893537	0.186128303970496	0.0606807536306508
"ENSG00000164304.11"	"CAGE1"	6	0.0421671569549093	0.138442088914719	0.0721872861976639
"ENSG00000124784.4"	"RIOK1"	6	0.0447336045058832	0.14134773415546	0.0730466826804191
"ENSG00000096696.9"	"DSP"	6	0.034980491279052	0.151002897908825	0.12805336682663
"ENSG00000168566.11"	"SNRNP48"	6	0.0476540252982374	0.143968085244967	0.0985571611577991
"ENSG00000153162.8"	"BMP6"	6	0.102937532266605	0.186273847960443	0.104181494086453
"ENSG00000239264.4"	"TXNDC5"	6	0.113921311946508	0.207857800082128	0.0984928339581772
"ENSG00000259040.3"	"BLOC1S5-TXNDC5"	6	0.113921311946508	0.207857800082128	0.0984928339581772
"ENSG00000188428.12"	"BLOC1S5"	6	0.128087993789661	0.201150731186323	0.0934089548294699
"ENSG00000265818.1"	"EEF1E1-BLOC1S5"	6	0.128087993789661	0.201150731186323	0.0934089548294699
"ENSG00000124802.7"	"EEF1E1"	6	0.148864315460286	0.185967955155204	0.123295725441003
"ENSG00000124786.8"	"SLC35B3"	6	0.0827461468305462	0.164236644734892	0.16292184414483
"ENSG00000181355.16"	"OFCC1"	6	0.0301124296325882	0.226703487930142	0.111311487014717
"ENSG00000137203.6"	"TFAP2A"	6	-0.0715995629536053	0.149657801181335	0.114967117601867
"ENSG00000111846.11"	"GCNT2"	6	-0.00766610958578517	0.19253151100653	0.144084873490704
"ENSG00000205318.3"	"GCNT6"	6	0.0392116699475644	0.17656018698813	0.130971941878761
"ENSG00000137434.7"	"C6orf52"	6	0.0424837712101321	0.173570196497737	0.12822478895773
"ENSG00000111845.4"	"PAK1IP1"	6	0.0297352319961516	0.191354871127048	0.133469734846254
"ENSG00000111843.9"	"TMEM14C"	6	0.00653672841477025	0.206954861174761	0.140474574802999
"ENSG00000137210.9"	"TMEM14B"	6	0.0118302352194375	0.19976185759799	0.143632587400445
"ENSG00000153157.8"	"SYCP2L"	6	0.0118302352194375	0.19976185759799	0.143632587400445
"ENSG00000272162.1"	"RP11-637O19.3"	6	0.0118302352194375	0.19976185759799	0.143632587400445
"ENSG00000111837.7"	"MAK"	6	0.00359574971144867	0.200670813017418	0.150767097667376
