"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000184895.6"	"SRY"	24	-0.00846130234840645	0.0379322485023336	0.0147454075573808
"ENSG00000129824.11"	"RPS4Y1"	24	-0.0055042819900476	0.0326977194470773	-0.00343184689145958
"ENSG00000067646.7"	"ZFY"	24	0.00696157294258765	-0.00877731933507338	0.0259745249328426
"ENSG00000176679.8"	"TGIF2LY"	24	0.0594873299086037	0.0128971172791799	-0.0293276321077891
"ENSG00000099715.10"	"PCDH11Y"	24	0.219153469465569	0.08666946669208	0.136107013047241
"ENSG00000269464.1"	"AC012067.1"	24	0.275815725350787	0.0302760815095311	0.0401685740077181
"ENSG00000168757.8"	"TSPY2"	24	0.230917326593477	0.101399989987256	0.0891051757468814
"ENSG00000099721.9"	"AMELY"	24	0.22918143466222	0.113189641357357	0.149254052309783
"ENSG00000092377.9"	"TBL1Y"	24	0.214195586984363	0.102777698553474	0.16137802722128
"ENSG00000233803.4"	"TSPY4"	24	0.0577191684336796	-0.0190160471466007	0.0199125751932295
"ENSG00000229549.4"	"TSPY8"	24	0.0679627504164315	0.0113170841440796	0.032850948862427
"ENSG00000228927.5"	"TSPY3"	24	0.0231000253009078	-0.00839220726337807	0.0675952757335744
"ENSG00000258992.1"	"TSPY1"	24	0.0231000253009078	-0.00839220726337807	0.0675952757335744
"ENSG00000238074.3"	"TSPY6P"	24	0.0363593410548512	-0.0618894461166347	-0.00427689492041101
"ENSG00000236424.3"	"TSPY10"	24	0.039230514990996	-0.0454248045557245	0.0555615690105252
"ENSG00000224336.1"	"FAM197Y1"	24	0.0247299780413358	-0.0571611584434518	0.0395672849745443
"ENSG00000183704.6"	"SLC9B1P1"	24	0.033788218876534	0.129398518624904	0.0356921772963536
"ENSG00000114374.8"	"USP9Y"	24	0.039486934604768	0.292661283954654	0.185817931974389
"ENSG00000067048.12"	"DDX3Y"	24	0.0273330865795506	0.102821070517594	0.0655570732230034
"ENSG00000183878.11"	"UTY"	24	-0.0538166526596429	0.0222129005881025	-0.0036893708743579
"ENSG00000269291.1"	"AC010877.1"	24	-0.0582800573126332	0.0234022998264448	0.0178930219246503
"ENSG00000154620.5"	"TMSB4Y"	24	0.025587032498204	-0.0537683835120477	-0.0289294473889419
"ENSG00000129864.6"	"VCY"	24	0.0402566865956751	-0.0255356123878444	0.0250658675722486
"ENSG00000165246.8"	"NLGN4Y"	24	-0.0163677259458823	0.0337175412892789	-0.00863002086657386
"ENSG00000182415.8"	"CDY2A"	24	0.000759982465066993	-0.0644098484547474	0.0195230840379202
"ENSG00000172468.9"	"HSFY1"	24	0.0016573167339984	-0.0694140539371056	0.0580297666451519
"ENSG00000269084.1"	"AC009977.1"	24	0.0406728664790882	-0.113913844706569	-0.00548717131499816
"ENSG00000012817.11"	"KDM5D"	24	0.024751202774885	-0.103431402853264	0.0456078620332788
"ENSG00000198692.5"	"EIF1AY"	24	0.0454577956985209	-0.110387291413068	0.0900141181506148
"ENSG00000157828.5"	"RPS4Y2"	24	0.050571520601989	-0.143706926926018	0.0776550124904521
"ENSG00000183146.4"	"CYorf17"	24	0.0360301718421782	-0.176513978251147	0.132868534068488
"ENSG00000234414.3"	"RBMY1A1"	24	0.0672109701269663	-0.138285379456634	0.0587868922750574
"ENSG00000242875.2"	"RBMY1B"	24	0.0672109701269663	-0.138285379456634	0.0587868922750574
"ENSG00000169807.6"	"PRY2"	24	0.0776084748153121	-0.402388282832844	0.173828047821446
"ENSG00000169800.9"	"RBMY1F"	24	0.0829600390670941	-0.402571495462677	0.191585313539084
"ENSG00000226941.3"	"RBMY1J"	24	0.137926211931936	-0.322891091593464	0.211929534525632
"ENSG00000169789.6"	"PRY"	24	0.0881464581441594	-0.403903510185004	0.163312342803941
"ENSG00000183753.5"	"BPY2"	24	0.0138653260960884	-0.13505007055214	0.0462142600508899
"ENSG00000188120.10"	"DAZ1"	24	0.00835534019407518	-0.127087265245875	0.0350069587771735
"ENSG00000185894.4"	"BPY2C"	24	-0.0587408518113142	-0.0517616949429512	-0.0263933078449818
"ENSG00000172288.6"	"CDY1"	24	-0.0577657810085096	-0.0480660811165122	-0.0228988044053211
