"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000198223.10"	"CSF2RA"	"X"	0.0248788916902821	0.0368500749939831	-0.00606224698324395
"ENSG00000185291.6"	"IL3RA"	"X"	0.0179285990271646	0.042331577484127	0.00198943975845369
"ENSG00000169100.8"	"SLC25A6"	"X"	0.0265614659199628	0.0335081973650174	0.0134963868579627
"ENSG00000169093.10"	"ASMTL"	"X"	0.0180677389078353	0.0416684155718931	-0.00274763102537901
"ENSG00000182162.5"	"P2RY8"	"X"	-0.0172148932989082	0.0266198441656398	-0.0148552115440445
"ENSG00000197976.6"	"AKAP17A"	"X"	-0.0289406877721412	0.0146881157500174	-0.0268084935497278
"ENSG00000196433.7"	"ASMT"	"X"	-0.0285449874590682	0.00803338889477219	-0.0261757969979136
"ENSG00000169084.8"	"DHRSX"	"X"	-0.107812097032634	-0.00222965360146059	0.254928832754619
"ENSG00000214717.5"	"ZBED1"	"X"	-0.0461711824947006	-0.0203220692292923	0.274915806117737
"ENSG00000002586.13"	"CD99"	"X"	-0.0840682150671579	-0.0594923512551408	0.317674825261668
"ENSG00000124343.8"	"XG"	"X"	-0.0966024507229241	-0.0645270044992987	0.318431633953348
"ENSG00000056998.14"	"GYG2"	"X"	-0.0812202022701661	-0.0689789415250813	0.299522056163492
"ENSG00000006756.11"	"ARSD"	"X"	-0.0976455210570883	-0.0792950821888652	0.248625208927177
"ENSG00000157399.10"	"ARSE"	"X"	-0.105394930654164	-0.0792045251713406	0.246188780796409
"ENSG00000205667.2"	"ARSH"	"X"	-0.12765080445031	-0.0607189537807469	0.245086676186071
"ENSG00000062096.10"	"ARSF"	"X"	-0.137684197758566	-0.053157705754814	0.250043764842436
"ENSG00000228459.2"	"CXorf28"	"X"	-0.119000154786045	-0.0162797634329224	0.274668460346731
"ENSG00000101825.7"	"MXRA5"	"X"	-0.0976449061246537	-0.0167853661789713	0.274259950435092
"ENSG00000183943.5"	"PRKX"	"X"	-0.122446272017206	-0.0587987626265721	0.212769594245968
"ENSG00000205664.6"	"RP11-706O15.1"	"X"	-0.129331001147282	-0.00228154633168073	0.203773260169078
"ENSG00000146938.10"	"NLGN4X"	"X"	-0.252055567790588	0.0664823902912232	0.1102642950308
"ENSG00000169059.8"	"VCX3A"	"X"	-0.324384459509781	-0.0207354804145644	0.121785979554362
"ENSG00000130021.9"	"HDHD1"	"X"	-0.223357050149041	0.0129511375019131	0.0969712485152175
"ENSG00000101846.6"	"STS"	"X"	-0.252826293342199	0.0235343481724579	0.118668779715354
"ENSG00000182583.8"	"VCX"	"X"	-0.238360906618627	-0.0285285620170228	0.184918664357585
"ENSG00000006757.7"	"PNPLA4"	"X"	-0.230829689945383	-0.0286683321012849	0.172969175717739
"ENSG00000177504.9"	"VCX2"	"X"	-0.148777437571297	-0.00318104300941912	0.228381476997076
"ENSG00000205642.5"	"VCX3B"	"X"	-0.203015798991427	0.052609969724309	0.224654298169356
"ENSG00000011201.6"	"KAL1"	"X"	-0.204929378939157	0.0467716536609775	0.186544007239967
"ENSG00000183304.6"	"FAM9A"	"X"	-0.232586757204001	-0.0172573270649817	0.212245845085024
"ENSG00000177138.11"	"FAM9B"	"X"	-0.214671548483233	0.0242203121595109	0.268264717310686
"ENSG00000101849.11"	"TBL1X"	"X"	-0.222094146904384	0.00318124153836097	0.128511826453852
"ENSG00000101850.8"	"GPR143"	"X"	-0.243585500064598	0.0400429402500341	0.170379693050607
"ENSG00000146950.8"	"SHROOM2"	"X"	-0.267879842238741	0.0444236189380649	0.169049802957222
"ENSG00000234469.2"	"AC002365.1"	"X"	-0.298948341502861	0.00752829454151009	0.143423997705112
"ENSG00000047644.13"	"WWC3"	"X"	-0.297926226662453	-0.0157567135181138	0.128703262271781
"ENSG00000073464.7"	"CLCN4"	"X"	-0.172531861318846	-0.0150478704203339	0.209720636195481
"ENSG00000101871.10"	"MID1"	"X"	-0.120953778580274	-0.0327734170746628	0.256186814757184
"ENSG00000004961.10"	"HCCS"	"X"	-0.0952956952598739	0.00438559707205274	0.230493119181311
"ENSG00000047648.17"	"ARHGAP6"	"X"	-0.0841546784414355	-0.00240142289170092	0.226437889153867
"ENSG00000125363.10"	"AMELX"	"X"	-0.0678959882817531	-0.0480610624073212	0.286058457431331
"ENSG00000005302.13"	"MSL3"	"X"	-0.10690316079707	-0.0713064623614654	0.20430904230372
"ENSG00000169933.8"	"FRMPD4"	"X"	-0.154902157474156	-0.00843617427558832	0.18641883211885
"ENSG00000101911.8"	"PRPS2"	"X"	-0.23052170678246	-0.013401426146528	0.159351931577573
"ENSG00000196664.4"	"TLR7"	"X"	-0.232198063157601	-0.0422044873359588	0.185034188215594
"ENSG00000101916.11"	"TLR8"	"X"	-0.236225232240726	-0.0332699314046869	0.183481062420276
"ENSG00000205542.6"	"TMSB4X"	"X"	-0.194865029929471	-0.0481612264286953	0.217625350499656
"ENSG00000187268.7"	"FAM9C"	"X"	-0.181716551058496	-0.0303346432058376	0.199074718859259
"ENSG00000123594.3"	"ATXN3L"	"X"	-0.210961004896475	0.00942736089115606	0.223688497473433
"ENSG00000198759.7"	"EGFL6"	"X"	-0.229406849168198	-0.0328393460557231	0.147190048442613
"ENSG00000176896.7"	"TCEANC"	"X"	-0.23838220444893	-0.0235829473008364	0.155259502646978
"ENSG00000123595.5"	"RAB9A"	"X"	-0.257239008796635	-0.00779332636291018	0.165402972641264
"ENSG00000196459.9"	"TRAPPC2"	"X"	-0.253066378117185	-0.0203665990328049	0.161631086519681
"ENSG00000046651.10"	"OFD1"	"X"	-0.261411979037286	-0.00484368029053046	0.165070482703967
"ENSG00000046653.10"	"GPM6B"	"X"	-0.243447185543224	0.0105628262362412	0.145569686116185
"ENSG00000046647.9"	"GEMIN8"	"X"	-0.121313335827363	-0.0166448990571807	0.190070552734723
"ENSG00000101958.9"	"GLRA2"	"X"	-0.0639739840568781	-0.0458962720279006	0.223020370100562
"ENSG00000181544.9"	"FANCB"	"X"	-0.0917301510394381	0.016445468422597	0.284857211676887
"ENSG00000130150.7"	"MOSPD2"	"X"	-0.0908112654574807	0.0220660256697925	0.267405969618422
"ENSG00000102048.11"	"ASB9"	"X"	-0.181919287739556	0.0335409324084043	0.129665080612383
"ENSG00000165192.9"	"ASB11"	"X"	-0.202135323647462	0.0225180240707165	0.124141451776619
"ENSG00000165195.9"	"PIGA"	"X"	-0.226365242235969	0.0192341600255848	0.13308023736235
"ENSG00000165197.4"	"FIGF"	"X"	-0.232403367481387	0.00157698692837591	0.142675564332292
"ENSG00000087842.6"	"PIR"	"X"	-0.234720933884406	-0.00886072868018889	0.142470175316348
"ENSG00000102010.10"	"BMX"	"X"	-0.237333202057394	-0.012219368671197	0.163527781981564
"ENSG00000130234.6"	"ACE2"	"X"	-0.21663883779928	-0.0259581363591264	0.185752230973009
"ENSG00000147003.5"	"TMEM27"	"X"	-0.2073988744961	-0.0226695854459651	0.199355010329232
"ENSG00000169239.8"	"CA5B"	"X"	-0.219925988254349	-0.001989473553998	0.205096484884606
"ENSG00000169249.8"	"ZRSR2"	"X"	-0.237555528515747	0.047219653139286	0.193178248076083
"ENSG00000182287.9"	"AP1S2"	"X"	-0.229022944447968	0.0542970589813543	0.199910807734925
"ENSG00000126010.5"	"GRPR"	"X"	-0.174009404921213	-0.0130233060196862	0.233617567256796
"ENSG00000182798.6"	"MAGEB17"	"X"	-0.170906576253696	-0.011976678235617	0.245295250944953
"ENSG00000047230.10"	"CTPS2"	"X"	-0.122613770512214	-0.0665767747015171	0.23067890104783
"ENSG00000169906.5"	"S100G"	"X"	-0.120871844579692	-0.0649811243338411	0.222973766223984
"ENSG00000169895.5"	"SYAP1"	"X"	-0.118106404801965	-0.0409868988477243	0.202856738240928
"ENSG00000086712.8"	"TXLNG"	"X"	-0.110184606950198	-0.0126807342575004	0.19415424376459
"ENSG00000102054.13"	"RBBP7"	"X"	-0.100641261315237	0.00288208381617604	0.200564044216689
"ENSG00000169891.13"	"REPS2"	"X"	-0.0820093532421635	0.00471346772525083	0.240288720427121
"ENSG00000188158.10"	"NHS"	"X"	-0.0893691800118846	-0.0688499651313399	0.218468231380594
"ENSG00000047634.10"	"SCML1"	"X"	-0.154889488160438	-0.0643746606877491	0.236976030796951
"ENSG00000131831.13"	"RAI2"	"X"	-0.171979509687729	-0.0410865015596056	0.233089168309539
"ENSG00000177324.9"	"BEND2"	"X"	-0.16659688613479	-0.0235704934221937	0.226806479078016
"ENSG00000102098.13"	"SCML2"	"X"	-0.149858869224236	-0.00595018815338269	0.245413611161452
"ENSG00000008086.6"	"CDKL5"	"X"	-0.0958209019554741	-0.0531161969347728	0.272010663995909
"ENSG00000102104.8"	"RS1"	"X"	-0.105920933015866	-0.0844010676943105	0.252361465934988
"ENSG00000086717.14"	"PPEF1"	"X"	-0.0931907154382206	-0.0857065894147668	0.226837690034046
"ENSG00000044446.7"	"PHKA2"	"X"	-0.0657016809223843	-0.048576455593075	0.223937995693446
"ENSG00000173698.13"	"GPR64"	"X"	-0.06890186315331	-0.0220690619414475	0.218729122248977
"ENSG00000131828.9"	"PDHA1"	"X"	-0.108464566576085	-0.0782105607172762	0.230938083662317
"ENSG00000180815.10"	"MAP3K15"	"X"	-0.114346551913096	-0.084192987959369	0.223038617314479
"ENSG00000147010.13"	"SH3KBP1"	"X"	-0.140913257873221	-0.0887698202766398	0.19089866075637
"ENSG00000173681.12"	"CXorf23"	"X"	-0.134785843160063	-0.0227193929454506	0.168379169874684
"ENSG00000184368.11"	"MAP7D2"	"X"	-0.121285144006106	-0.013181497531648	0.156486452078125
"ENSG00000173674.6"	"EIF1AX"	"X"	-0.0999367297465548	-0.0125035476370195	0.169387253843199
"ENSG00000177189.8"	"RPS6KA3"	"X"	-0.104960437049184	0.00179974304572538	0.19481853022839
"ENSG00000149970.10"	"CNKSR2"	"X"	-0.240460418699583	-0.0630431391306823	0.159728419018829
"ENSG00000185915.4"	"KLHL34"	"X"	-0.205324380627861	0.0227198595605125	0.170332965082244
"ENSG00000091482.5"	"SMPX"	"X"	-0.205028741182598	0.0151025176666168	0.151964999121377
"ENSG00000012174.7"	"MBTPS2"	"X"	-0.196560116610246	0.00191969875250812	0.103786837141046
"ENSG00000230797.2"	"YY2"	"X"	-0.191755814695424	-0.0150669355636707	0.0922538987686812
"ENSG00000102172.11"	"SMS"	"X"	-0.170339072676976	-0.0238921541088888	0.106715359289686
"ENSG00000102174.7"	"PHEX"	"X"	-0.200528775557054	0.0101262379886013	0.0980785461292266
"ENSG00000175809.3"	"ZNF645"	"X"	-0.17508844868274	-0.0291260290758665	0.139387531193165
"ENSG00000184735.5"	"DDX53"	"X"	-0.199464479000626	-0.00429740101434411	0.197811584510723
"ENSG00000165186.9"	"PTCHD1"	"X"	-0.122163097750067	3.56439050665803e-05	0.190313415575166
"ENSG00000123131.8"	"PRDX4"	"X"	-0.10736268742656	-0.0518513198302398	0.228814069058922
"ENSG00000123130.12"	"ACOT9"	"X"	-0.130834379284118	-0.0777495898117795	0.244649968550109
"ENSG00000130066.12"	"SAT1"	"X"	-0.165040628219471	-0.0825906561107754	0.231337281069776
"ENSG00000184831.9"	"APOO"	"X"	-0.169385969021468	-0.087825327171566	0.218045483696529
"ENSG00000165182.6"	"CXorf58"	"X"	-0.14758876379585	-0.0860431466106653	0.229781548638559
"ENSG00000174010.9"	"KLHL15"	"X"	-0.129397229672706	-0.0473643260543297	0.27309390447249
"ENSG00000130741.6"	"EIF2S3"	"X"	-0.151814290834474	-0.0482599207898056	0.251706705502423
"ENSG00000005889.11"	"ZFX"	"X"	-0.158051184340624	-0.0748495777535356	0.213490305216049
"ENSG00000067992.8"	"PDK3"	"X"	-0.0788051225628995	-0.0247640082124858	0.20791568261585
"ENSG00000102230.9"	"PCYT1B"	"X"	-0.0670415763939784	-0.0500301252171063	0.187481303059358
"ENSG00000101868.6"	"POLA1"	"X"	-0.0772506680343067	-0.103978558358596	0.205773855906594
"ENSG00000004848.6"	"ARX"	"X"	-0.102632272175185	-0.0590308048527952	0.267123235730923
"ENSG00000176774.5"	"MAGEB18"	"X"	-0.186877705019128	-0.0403100349983055	0.125103560000252
"ENSG00000176746.6"	"MAGEB6"	"X"	-0.191699648793209	-0.0582103832019524	0.124882939434185
"ENSG00000188408.4"	"MAGEB5"	"X"	-0.211653226356658	-0.0378905282128344	0.138159134897118
"ENSG00000189186.6"	"DCAF8L2"	"X"	-0.258206982552575	-0.0599410466647991	0.121435157879353
