"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000198033.7"	"TUBA3C"	13	0.0113119714079833	-0.00538893641732961	-0.0149046908502493
"ENSG00000121388.4"	"RP11-408E5.4"	13	0.0106030238638909	-0.00305869452900439	-0.0150473483081843
"ENSG00000132958.13"	"TPTE2"	13	0.019966183545496	0.0150659865920636	0.00432571837002468
"ENSG00000196199.9"	"MPHOSPH8"	13	0.00745234659761477	-0.00501255570134927	0.0213706391186819
"ENSG00000121390.13"	"PSPC1"	13	-0.00869781945252383	-0.00315679893307437	0.0217267392915739
"ENSG00000269591.1"	"AL354808.2"	13	-0.0113302708162368	-0.00804822832442713	0.0186995206104832
"ENSG00000132950.14"	"ZMYM5"	13	-0.0154129992758064	-0.0100853693127753	0.0131939340202219
"ENSG00000121741.12"	"ZMYM2"	13	-0.00286183662317369	-0.0211898120926841	-0.00499975340374473
"ENSG00000121743.3"	"GJA3"	13	0.00330715196330176	-0.00466187954134477	-0.0231567637737553
"ENSG00000165474.5"	"GJB2"	13	-0.00607023629937423	0.0095856687167149	-0.0179691056792619
"ENSG00000121742.11"	"GJB6"	13	-0.00275483252289974	0.0226587055619016	-0.0145322692171147
"ENSG00000165475.9"	"CRYL1"	13	-0.00344107848833705	0.0252303921234042	-0.0145007196799447
"ENSG00000032742.13"	"IFT88"	13	-0.00505150381065479	-0.00353158131355747	-0.0292161437290336
"ENSG00000172458.4"	"IL17D"	13	-0.00315398381937962	-0.00209848418584566	-0.0258820156520217
"ENSG00000150456.6"	"N6AMT2"	13	-0.0109018826946411	-0.00613261488074436	-0.0205785985161922
"ENSG00000132953.12"	"XPO4"	13	-0.0222316318566694	0.0020063411421391	-0.00852074117729369
"ENSG00000150457.7"	"LATS2"	13	-0.00391101631656296	-0.0174037341304977	0.0159577901381079
"ENSG00000150459.8"	"SAP18"	13	0.00291781762000936	-0.0142602549756027	0.0214784616740807
"ENSG00000165480.11"	"SKA3"	13	0.00253567002943226	-0.0131148179863158	0.022876494608002
"ENSG00000173141.4"	"MRP63"	13	0.00845779862562263	-0.00873203064701899	0.0195493776546676
"ENSG00000180776.11"	"ZDHHC20"	13	0.0262933236569285	0.0194816795350478	0.0108356721285946
"ENSG00000165487.9"	"MICU2"	13	0.0242532389545447	0.021648702577967	0.00677064578564014
"ENSG00000102678.6"	"FGF9"	13	-0.00488620018890792	0.0109234883962537	0.00743831699648486
"ENSG00000102683.6"	"SGCG"	13	-0.0110145355665483	-0.00808650332137564	-0.0203054054000215
"ENSG00000151835.9"	"SACS"	13	-0.020032022753382	0.0132795134371024	-0.0173928218249172
"ENSG00000127863.11"	"TNFRSF19"	13	-0.0181532834035331	0.0218336642671834	-0.00462518975962664
"ENSG00000027001.7"	"MIPEP"	13	-0.0183175131378836	0.00095715557192016	0.013181968212051
"ENSG00000268735.1"	"AL139080.1"	13	-0.0179159747527785	-0.00436493147958587	0.0154367309625138
"ENSG00000205863.5"	"C1QTNF9B"	13	-0.0114828090491493	-0.0047819533640563	0.0126440480489178
"ENSG00000182957.11"	"SPATA13"	13	-0.00366911860252817	-0.0166542187742417	-0.00743209710153516
"ENSG00000273167.1"	"RP11-307N16.6"	13	-0.00366911860252817	-0.0166542187742417	-0.00743209710153516
"ENSG00000240654.2"	"C1QTNF9"	13	0.0274640555026364	-0.00266844744335791	0.0078515305104578
