"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000198223.10"	"CSF2RA"	"X"	-0.0123467368198183	-0.0207872824580092	-0.0100036586334385
"ENSG00000185291.6"	"IL3RA"	"X"	-0.0116099298877566	-0.0143699002796763	-0.011561094803565
"ENSG00000169100.8"	"SLC25A6"	"X"	0.00188036573418126	-0.012015957165917	-0.0285421724648363
"ENSG00000169093.10"	"ASMTL"	"X"	0.00452841846685043	-0.000315293763827395	-0.0302316468045989
"ENSG00000182162.5"	"P2RY8"	"X"	-0.00883317283902227	0.011527654372783	-0.0165336100399531
"ENSG00000197976.6"	"AKAP17A"	"X"	-0.0233902804949649	0.0153993135990139	-0.00549265315306692
"ENSG00000196433.7"	"ASMT"	"X"	-0.0201911961347919	0.0175555450034001	-0.00271711305784808
"ENSG00000169084.8"	"DHRSX"	"X"	-0.0791653585783968	-0.0945311073375128	-0.300187306426825
"ENSG00000214717.5"	"ZBED1"	"X"	-0.102139680428534	-0.0844000845620903	-0.265412414133314
"ENSG00000002586.13"	"CD99"	"X"	-0.0879062953233324	-0.128991167975367	-0.244248059267924
"ENSG00000124343.8"	"XG"	"X"	-0.0840940694568576	-0.13477248848676	-0.244841098504361
"ENSG00000056998.14"	"GYG2"	"X"	-0.080440181807004	-0.115360861673167	-0.243238451197738
"ENSG00000006756.11"	"ARSD"	"X"	-0.0529794981475483	-0.106900536678539	-0.246224962115788
"ENSG00000157399.10"	"ARSE"	"X"	-0.0459604884809102	-0.105729564611184	-0.251990096365761
"ENSG00000205667.2"	"ARSH"	"X"	-0.0464792408096471	-0.0982554963838552	-0.251162230985123
"ENSG00000062096.10"	"ARSF"	"X"	-0.0435833488722618	-0.106235825133469	-0.256983004311863
"ENSG00000228459.2"	"CXorf28"	"X"	-0.0314629376835908	-0.0903744389532272	-0.24933211575407
"ENSG00000101825.7"	"MXRA5"	"X"	-0.0368360458905368	-0.101053071094064	-0.251674667590801
"ENSG00000183943.5"	"PRKX"	"X"	-0.0421376061482418	-0.0755237495247815	-0.240882978335499
"ENSG00000205664.6"	"RP11-706O15.1"	"X"	-0.063727937486822	-0.0748172884480224	-0.236961742690295
"ENSG00000146938.10"	"NLGN4X"	"X"	0.0438814552795108	-0.167626653065231	-0.183419584290706
"ENSG00000169059.8"	"VCX3A"	"X"	0.0725086952111064	-0.186117300030616	-0.159018506449263
"ENSG00000130021.9"	"HDHD1"	"X"	0.0617988939661199	-0.12198612517764	-0.1587396306359
"ENSG00000101846.6"	"STS"	"X"	0.068669577250608	-0.129940009278963	-0.166987425945655
"ENSG00000182583.8"	"VCX"	"X"	0.0424031873787168	-0.165781147954624	-0.194932427312144
"ENSG00000006757.7"	"PNPLA4"	"X"	0.0446025766746579	-0.153517692352945	-0.199603430872885
"ENSG00000177504.9"	"VCX2"	"X"	0.0589835351323937	-0.138976189533762	-0.214150112108888
"ENSG00000205642.5"	"VCX3B"	"X"	0.0561550244067253	-0.128109209155671	-0.161849113178115
"ENSG00000011201.6"	"KAL1"	"X"	0.0367042659115357	-0.127099302704185	-0.166391023068859
"ENSG00000183304.6"	"FAM9A"	"X"	0.0253178317930988	-0.168876423333252	-0.183550792940775
"ENSG00000177138.11"	"FAM9B"	"X"	0.0591765593874415	-0.191212666508069	-0.166924569543866
"ENSG00000101849.11"	"TBL1X"	"X"	0.0504733064881232	-0.107237625822254	-0.178176013544615
"ENSG00000101850.8"	"GPR143"	"X"	0.02152968215916	-0.121473375410247	-0.215591418084449
"ENSG00000146950.8"	"SHROOM2"	"X"	0.00547473082869146	-0.119870334240607	-0.208747859336952
"ENSG00000234469.2"	"AC002365.1"	"X"	-0.00302679994402864	-0.122084228814967	-0.179173280719971
"ENSG00000047644.13"	"WWC3"	"X"	-0.00404215866909453	-0.125739308259617	-0.167695531892054
"ENSG00000073464.7"	"CLCN4"	"X"	-0.0370197615912833	-0.114272143027308	-0.187551442133939
"ENSG00000101871.10"	"MID1"	"X"	-0.0304486271144075	-0.0727875807694277	-0.207917118400915
"ENSG00000004961.10"	"HCCS"	"X"	3.38950955852166e-06	-0.101116438983093	-0.219776252744909
"ENSG00000047648.17"	"ARHGAP6"	"X"	0.000549604340431956	-0.100832686956583	-0.216145819124595
"ENSG00000125363.10"	"AMELX"	"X"	-0.00284183697396675	-0.0922485986208114	-0.179013534792669
"ENSG00000005302.13"	"MSL3"	"X"	-0.00673670131197183	-0.140809998532812	-0.181945320282341
"ENSG00000169933.8"	"FRMPD4"	"X"	0.036777770793857	-0.138057847397663	-0.170668451811278
"ENSG00000101911.8"	"PRPS2"	"X"	0.0024692489267004	-0.121962320653646	-0.197978852897156
"ENSG00000196664.4"	"TLR7"	"X"	-0.0142536596416603	-0.123896616330512	-0.193994385054804
"ENSG00000101916.11"	"TLR8"	"X"	-0.0142270923818249	-0.122814541565723	-0.191639277250372
"ENSG00000205542.6"	"TMSB4X"	"X"	-0.0249540147514578	-0.118385619086267	-0.170141144234951
"ENSG00000187268.7"	"FAM9C"	"X"	-0.0223476812495542	-0.111050524206655	-0.171687712200025
"ENSG00000123594.3"	"ATXN3L"	"X"	-0.00832727381660557	-0.14753487067191	-0.16128943893512
"ENSG00000198759.7"	"EGFL6"	"X"	0.0367382391544625	-0.125201508993602	-0.181145456236797
"ENSG00000176896.7"	"TCEANC"	"X"	0.0262940704653468	-0.111095760926567	-0.185499631799799
"ENSG00000123595.5"	"RAB9A"	"X"	0.026456103833381	-0.0994095601881283	-0.188108907449914
"ENSG00000196459.9"	"TRAPPC2"	"X"	0.0253211906696109	-0.0972437260616103	-0.191230928445238
"ENSG00000046651.10"	"OFD1"	"X"	0.0250669446327518	-0.0992459060636918	-0.195458050870168
"ENSG00000046653.10"	"GPM6B"	"X"	0.0275512672595228	-0.115199165527563	-0.207554599052751
"ENSG00000046647.9"	"GEMIN8"	"X"	-0.0146076620138707	-0.116438820618281	-0.223500010665956
"ENSG00000101958.9"	"GLRA2"	"X"	-0.0430132877936853	-0.0863947141118459	-0.19411037755062
"ENSG00000181544.9"	"FANCB"	"X"	-0.0347848276648135	-0.0546272245464834	-0.225484212129323
"ENSG00000130150.7"	"MOSPD2"	"X"	-0.0297269338635484	-0.0552981170889788	-0.227993736538547
"ENSG00000102048.11"	"ASB9"	"X"	-0.00162043606258899	-0.0906787627941271	-0.173940684422532
"ENSG00000165192.9"	"ASB11"	"X"	0.00874935920221788	-0.093078771161369	-0.169321785689746
"ENSG00000165195.9"	"PIGA"	"X"	0.0230437185127208	-0.100601886339344	-0.162937708878972
"ENSG00000165197.4"	"FIGF"	"X"	0.0313156512699584	-0.102095808830955	-0.162087492661447
"ENSG00000087842.6"	"PIR"	"X"	0.0289983528609267	-0.105680929168795	-0.150424833851476
"ENSG00000102010.10"	"BMX"	"X"	0.0391244527577033	-0.10413847948289	-0.161446418591505
"ENSG00000130234.6"	"ACE2"	"X"	0.0540848638660046	-0.101472656358456	-0.17806436962373
"ENSG00000147003.5"	"TMEM27"	"X"	0.0535716108362428	-0.112021370368674	-0.187554208627171
"ENSG00000169239.8"	"CA5B"	"X"	0.0509304206341886	-0.124376466540876	-0.17993135154449
"ENSG00000169249.8"	"ZRSR2"	"X"	0.0358879786392654	-0.141691961401692	-0.185037075668347
"ENSG00000182287.9"	"AP1S2"	"X"	0.0338331318482613	-0.146476483933315	-0.185516698289097
"ENSG00000126010.5"	"GRPR"	"X"	-0.0053809187345251	-0.115660421143698	-0.177997702655968
"ENSG00000182798.6"	"MAGEB17"	"X"	-0.0118563709393136	-0.117722146782092	-0.178900705499576
"ENSG00000047230.10"	"CTPS2"	"X"	-0.0167386991702775	-0.0746212021752095	-0.170699557315185
"ENSG00000169906.5"	"S100G"	"X"	-0.0150531429250269	-0.0760696480589844	-0.179532307503253
"ENSG00000169895.5"	"SYAP1"	"X"	-0.00127917327605266	-0.074366466411494	-0.19910584683941
"ENSG00000086712.8"	"TXLNG"	"X"	-0.00720967731502206	-0.0760620189839938	-0.218270607649732
"ENSG00000102054.13"	"RBBP7"	"X"	-0.0121807663840172	-0.0852437095013406	-0.225603448954901
"ENSG00000169891.13"	"REPS2"	"X"	-0.0307876046522258	-0.0966511186353455	-0.224745223974283
"ENSG00000188158.10"	"NHS"	"X"	-0.0655978436197101	-0.0925711080036289	-0.175771146628672
"ENSG00000047634.10"	"SCML1"	"X"	-0.0165571206065666	-0.114014399096761	-0.18195491373409
"ENSG00000131831.13"	"RAI2"	"X"	-0.00356537880568054	-0.0908369958380799	-0.178453592000335
"ENSG00000177324.9"	"BEND2"	"X"	-0.0168321641616892	-0.0844989987373449	-0.166483340104837
"ENSG00000102098.13"	"SCML2"	"X"	-0.0228189024447935	-0.105266773011267	-0.159731880755623
"ENSG00000008086.6"	"CDKL5"	"X"	-0.0685853679174807	-0.107649637896585	-0.187030171511534
"ENSG00000102104.8"	"RS1"	"X"	-0.0767353782137998	-0.0875539786553649	-0.187625274517866
"ENSG00000086717.14"	"PPEF1"	"X"	-0.0766796615031561	-0.0841136477168788	-0.195043089359414
"ENSG00000044446.7"	"PHKA2"	"X"	-0.0617345301409731	-0.0982537730603261	-0.211600258407536
"ENSG00000173698.13"	"GPR64"	"X"	-0.051293807717431	-0.117025338373318	-0.213087760803977
"ENSG00000131828.9"	"PDHA1"	"X"	-0.0582021303736852	-0.0911403010605038	-0.214485645580871
"ENSG00000180815.10"	"MAP3K15"	"X"	-0.0544641648059166	-0.0838286416070903	-0.207397871870231
"ENSG00000147010.13"	"SH3KBP1"	"X"	-0.0508241288491608	-0.0694116596506149	-0.18136610862536
"ENSG00000173681.12"	"CXorf23"	"X"	-0.088676842023776	-0.0757856402582602	-0.155044923979401
"ENSG00000184368.11"	"MAP7D2"	"X"	-0.0882275021163621	-0.0930084615178528	-0.172173800548467
"ENSG00000173674.6"	"EIF1AX"	"X"	-0.0802746890746052	-0.0913679150998191	-0.177170595467811
"ENSG00000177189.8"	"RPS6KA3"	"X"	-0.0760973306361282	-0.0986598217307191	-0.188120373569984
"ENSG00000149970.10"	"CNKSR2"	"X"	-0.00665749675521837	-0.155344751183631	-0.128881105927571
"ENSG00000185915.4"	"KLHL34"	"X"	0.0120676302089205	-0.141474716155072	-0.172476846774569
"ENSG00000091482.5"	"SMPX"	"X"	0.0170215430123149	-0.132576383766671	-0.167122101768297
"ENSG00000012174.7"	"MBTPS2"	"X"	0.0425305595865631	-0.13095224281758	-0.147074174183824
"ENSG00000230797.2"	"YY2"	"X"	0.0448418695023683	-0.12948077813406	-0.147338435638871
"ENSG00000102172.11"	"SMS"	"X"	0.0476639926645436	-0.120560600879774	-0.137609405148292
"ENSG00000102174.7"	"PHEX"	"X"	0.0390898047145606	-0.107491271477639	-0.147739452869894
"ENSG00000175809.3"	"ZNF645"	"X"	0.0678029344039852	-0.136032769085815	-0.135112475095621
"ENSG00000184735.5"	"DDX53"	"X"	0.0315533811748512	-0.171494408695467	-0.157098521856012
"ENSG00000165186.9"	"PTCHD1"	"X"	-0.00562076980902755	-0.145362059877738	-0.164934864415192
"ENSG00000123131.8"	"PRDX4"	"X"	0.0237198957571977	-0.120448525008269	-0.132729671093295
"ENSG00000123130.12"	"ACOT9"	"X"	0.0286689854229137	-0.101318823161531	-0.132512036109049
"ENSG00000130066.12"	"SAT1"	"X"	0.0317913081699157	-0.0926697988030188	-0.154380970706616
"ENSG00000184831.9"	"APOO"	"X"	0.0423179089144326	-0.0978189639195825	-0.155132599852737
"ENSG00000165182.6"	"CXorf58"	"X"	0.0310608791271531	-0.0994348411670694	-0.142548822671798
"ENSG00000174010.9"	"KLHL15"	"X"	0.0422179931682708	-0.127239419029524	-0.129314736144669
"ENSG00000130741.6"	"EIF2S3"	"X"	0.0183520534331084	-0.12999632695323	-0.134203352272713
"ENSG00000005889.11"	"ZFX"	"X"	0.00901523786622514	-0.112483621735398	-0.130041805290777
"ENSG00000067992.8"	"PDK3"	"X"	-0.010442224309017	-0.121855372903896	-0.177255334143491
"ENSG00000102230.9"	"PCYT1B"	"X"	-0.0208562569235111	-0.128363170577675	-0.179228767455826
"ENSG00000101868.6"	"POLA1"	"X"	-0.026693466875525	-0.147313212324254	-0.164882067907715
"ENSG00000004848.6"	"ARX"	"X"	-0.0579146284312335	-0.152760901846772	-0.110786150480386
"ENSG00000176774.5"	"MAGEB18"	"X"	0.0133532840472989	-0.152974628807737	-0.134375984717101
"ENSG00000176746.6"	"MAGEB6"	"X"	0.0188258642972186	-0.168838853241322	-0.134934252315452
"ENSG00000188408.4"	"MAGEB5"	"X"	0.0200144341302605	-0.170432864994664	-0.130044606275179
"ENSG00000189186.6"	"DCAF8L2"	"X"	0.0216234125336693	-0.170806324210871	-0.132425978609976
"ENSG00000177689.9"	"MAGEB10"	"X"	0.0353042202046256	-0.199950361567798	-0.101112484428354
"ENSG00000226372.1"	"DCAF8L1"	"X"	0.0314677528091857	-0.190033751750208	-0.0740119261522866
"ENSG00000169306.5"	"IL1RAPL1"	"X"	0.0514306387779772	-0.134226419924502	-0.0956905573960581
"ENSG00000099399.5"	"MAGEB2"	"X"	0.0387923090324439	-0.13613573752495	-0.123513122533914
"ENSG00000198798.4"	"MAGEB3"	"X"	0.0399155620161115	-0.134205504822567	-0.119955348938633
"ENSG00000120289.10"	"MAGEB4"	"X"	0.0401791681290865	-0.140425257101308	-0.115813968370972
"ENSG00000214107.3"	"MAGEB1"	"X"	0.0401791681290865	-0.140425257101308	-0.115813968370972
"ENSG00000169297.6"	"NR0B1"	"X"	0.0386731288587486	-0.142913727583414	-0.10721399058558
"ENSG00000120280.5"	"CXorf21"	"X"	0.0130230307221759	-0.161964638165031	-0.11671021126843
"ENSG00000198814.8"	"GK"	"X"	-0.00113369363498918	-0.154969142866779	-0.113511904246891
"ENSG00000157625.11"	"TAB3"	"X"	-0.00580678766525695	-0.127353877266236	-0.102277205475688
"ENSG00000132446.5"	"FTHL17"	"X"	-0.00812298075020347	-0.103896357643952	-0.111025325589887
"ENSG00000198947.10"	"DMD"	"X"	-0.00333591607496289	-0.0982020379068704	-0.112118422382677
"ENSG00000185448.9"	"FAM47A"	"X"	-0.00109030717405066	-0.189375419780066	-0.0960008496146069
"ENSG00000147027.3"	"TMEM47"	"X"	0.0539540813860549	-0.146476065067455	-0.10534857768269
"ENSG00000189132.5"	"FAM47B"	"X"	0.0119470584065681	-0.115673830517059	-0.0828668095756014
"ENSG00000189023.6"	"MAGEB16"	"X"	0.0170362031303288	-0.180300947714962	-0.105708797402886
"ENSG00000165164.8"	"CXorf22"	"X"	0.0196910408245586	-0.166136285196851	-0.117759353890884
"ENSG00000176034.8"	"CHDC2"	"X"	0.000230457005641701	-0.164458664689934	-0.119422219203049
"ENSG00000205081.4"	"CXorf30"	"X"	0.0153069783638383	-0.158444652752648	-0.0988253277687226
"ENSG00000198173.3"	"FAM47C"	"X"	-0.0233381391922465	-0.142387625821945	-0.0607523880471472
"ENSG00000130962.13"	"PRRG1"	"X"	0.0114789740972262	-0.144091331451665	-0.0656794209112638
"ENSG00000250349.3"	"TM4SF2"	"X"	0.0114789740972262	-0.144091331451665	-0.0656794209112638
