"gene_id"	"chromosome"	"geneStart"
"ENSG00000000003.10"	"chrX"	99883667
"ENSG00000000005.5"	"chrX"	99839799
"ENSG00000000419.8"	"chr20"	49551404
"ENSG00000000457.9"	"chr1"	169818772
"ENSG00000000460.12"	"chr1"	169631245
"ENSG00000000938.8"	"chr1"	27938575
"ENSG00000000971.11"	"chr1"	196621008
"ENSG00000001036.9"	"chr6"	143815948
"ENSG00000001084.6"	"chr6"	53362139
"ENSG00000001167.10"	"chr6"	41040684
"ENSG00000001460.13"	"chr1"	24683489
"ENSG00000001461.12"	"chr1"	24742284
"ENSG00000001497.12"	"chrX"	64732462
"ENSG00000001561.6"	"chr6"	46097730
"ENSG00000001617.7"	"chr3"	50192478
"ENSG00000001626.10"	"chr7"	117105838
"ENSG00000001629.5"	"chr7"	91875548
"ENSG00000001630.11"	"chr7"	91741465
"ENSG00000001631.10"	"chr7"	91828283
"ENSG00000002016.12"	"chr12"	1021243
"ENSG00000002330.9"	"chr11"	64037302
"ENSG00000002549.8"	"chr4"	17578815
"ENSG00000002586.13"	"chrX"	2609220
"ENSG00000002587.5"	"chr4"	11394774
"ENSG00000002726.15"	"chr7"	150521715
"ENSG00000002745.8"	"chr7"	120965421
"ENSG00000002746.10"	"chr7"	43152198
"ENSG00000002822.11"	"chr7"	1855429
"ENSG00000002834.13"	"chr17"	37026112
"ENSG00000002919.10"	"chr17"	46180719
"ENSG00000002933.3"	"chr7"	150497491
"ENSG00000003056.3"	"chr12"	9092959
"ENSG00000003096.9"	"chrX"	117031776
"ENSG00000003137.4"	"chr2"	72356367
"ENSG00000003147.13"	"chr7"	8152814
"ENSG00000003393.10"	"chr2"	202565277
"ENSG00000003400.10"	"chr2"	202047604
"ENSG00000003402.15"	"chr2"	201980827
"ENSG00000003436.10"	"chr2"	188328957
"ENSG00000003509.11"	"chr2"	37458774
"ENSG00000003756.12"	"chr3"	50126341
"ENSG00000003987.9"	"chr8"	17155539
"ENSG00000003989.12"	"chr8"	17354597
"ENSG00000004059.6"	"chr7"	127228399
"ENSG00000004139.9"	"chr17"	26691378
"ENSG00000004142.7"	"chr17"	26673659
"ENSG00000004399.8"	"chr3"	129274018
"ENSG00000004455.12"	"chr1"	33473585
"ENSG00000004468.8"	"chr4"	15779898
"ENSG00000004478.5"	"chr12"	2904119
"ENSG00000004487.11"	"chr1"	23345941
"ENSG00000004534.10"	"chr3"	49977440
"ENSG00000004660.10"	"chr17"	3763609
"ENSG00000004700.11"	"chr12"	21621845
"ENSG00000004766.11"	"chr7"	92861653
"ENSG00000004776.7"	"chr19"	36245469
"ENSG00000004777.14"	"chr19"	36265434
"ENSG00000004779.5"	"chr16"	23592323
"ENSG00000004799.7"	"chr7"	95212811
"ENSG00000004809.9"	"chr6"	110745890
"ENSG00000004838.9"	"chr3"	50378541
"ENSG00000004846.12"	"chr7"	20654830
"ENSG00000004848.6"	"chrX"	25021811
"ENSG00000004864.9"	"chr7"	95749532
"ENSG00000004866.14"	"chr7"	116593292
"ENSG00000004897.7"	"chr17"	45195069
"ENSG00000004939.9"	"chr17"	42325753
"ENSG00000004948.9"	"chr7"	93053799
"ENSG00000004961.10"	"chrX"	11129421
"ENSG00000004975.7"	"chr17"	7128660
"ENSG00000005001.5"	"chr16"	2902728
"ENSG00000005007.8"	"chr19"	18942747
"ENSG00000005020.8"	"chr7"	26706681
"ENSG00000005022.5"	"chrX"	118602363
"ENSG00000005059.11"	"chr4"	110481361
"ENSG00000005073.5"	"chr7"	27221129
"ENSG00000005075.11"	"chr7"	102113565
"ENSG00000005100.8"	"chr17"	5344232
"ENSG00000005102.8"	"chr17"	41717756
"ENSG00000005108.11"	"chr7"	11409984
"ENSG00000005156.7"	"chr17"	33307513
"ENSG00000005175.5"	"chr12"	48057070
"ENSG00000005187.7"	"chr16"	20621565
"ENSG00000005189.15"	"chr16"	20817751
"ENSG00000005194.10"	"chr16"	57462081
"ENSG00000005238.15"	"chr9"	35104109
"ENSG00000005243.5"	"chr17"	46103533
"ENSG00000005249.8"	"chr7"	106685094
