"symbol"	"chromosome"	"x"	"y"	"z"
"ENSG00000198223.10"	"CSF2RA"	23	-0.0148223388220088	-0.00413730628168381	0.0288125493686323
"ENSG00000185291.6"	"IL3RA"	23	-0.0249444416383801	-0.00130258905131368	0.015310730652825
"ENSG00000169100.8"	"SLC25A6"	23	-0.0341285296513482	-0.00258696082883459	0.0125915967782282
"ENSG00000169093.10"	"ASMTL"	23	-0.0330487581149368	0.00326183408505709	0.0116114511379038
"ENSG00000182162.5"	"P2RY8"	23	-0.0149138207755185	0.0251427424795681	-0.000154175027977273
"ENSG00000197976.6"	"AKAP17A"	23	-0.0116388995959426	0.0241960357583049	-0.0114103099946931
"ENSG00000196433.7"	"ASMT"	23	-0.0102387217604675	0.0188577622675881	-0.0190483887278517
"ENSG00000169084.8"	"DHRSX"	23	0.0515153031973172	-0.130638910828321	-0.0997842501102061
"ENSG00000214717.5"	"ZBED1"	23	0.0105442072469321	-0.119230362476246	-0.127266549753545
"ENSG00000002586.13"	"CD99"	23	-0.00969055699273468	-0.165511554511592	-0.128096907366834
"ENSG00000124343.8"	"XG"	23	0.00313738387132666	-0.177283320281168	-0.130987923892346
"ENSG00000056998.14"	"GYG2"	23	-0.010378234152898	-0.171970834225732	-0.109047593533387
"ENSG00000006756.11"	"ARSD"	23	-0.00447308995406225	-0.166811065224101	-0.0740282946317536
"ENSG00000157399.10"	"ARSE"	23	0.00482072248539602	-0.160030781686503	-0.0702729232102227
"ENSG00000205667.2"	"ARSH"	23	0.0220507274096292	-0.170290279533711	-0.067972760685638
"ENSG00000062096.10"	"ARSF"	23	0.0345008434812215	-0.178216377448621	-0.0769348895014452
"ENSG00000228459.2"	"CXorf28"	23	0.0183056677817557	-0.143978364886331	-0.117906997582788
"ENSG00000101825.7"	"MXRA5"	23	0.0178413607490223	-0.139351628668903	-0.11983009801619
"ENSG00000183943.5"	"PRKX"	23	0.019876910823104	-0.155673219340629	-0.086661543122009
"ENSG00000205664.6"	"RP11-706O15.1"	23	-0.00679477085723165	-0.144020829078944	-0.077126884829374
"ENSG00000146938.10"	"NLGN4X"	23	-0.0673913976231818	-0.177834762753608	0.0657988612680263
"ENSG00000169059.8"	"VCX3A"	23	-0.118135296132241	-0.133555023267714	0.0832747138632464
"ENSG00000130021.9"	"HDHD1"	23	-0.042560236836015	-0.149053405476361	0.0879052622322947
"ENSG00000101846.6"	"STS"	23	-0.0903566805798444	-0.140529307934949	0.0626286545647647
"ENSG00000182583.8"	"VCX"	23	-0.0597865686468967	-0.123792653486023	0.00720921041110568
"ENSG00000006757.7"	"PNPLA4"	23	-0.0708114540951694	-0.124534465153072	0.00682406000973938
"ENSG00000177504.9"	"VCX2"	23	-0.0195629114307167	-0.185378470671527	0.0165282962753231
"ENSG00000205642.5"	"VCX3B"	23	-0.0564777671510276	-0.157076479035472	-0.0266236396611867
"ENSG00000011201.6"	"KAL1"	23	-0.0594910059655448	-0.150117562540988	-0.0226321424195884
"ENSG00000183304.6"	"FAM9A"	23	-0.07001217658702	-0.160338190773013	0.0461482320253649
"ENSG00000177138.11"	"FAM9B"	23	-0.0772920742320913	-0.201570222051974	-0.00917926970386982
"ENSG00000101849.11"	"TBL1X"	23	-0.0471103958628681	-0.145250254275372	0.0340329338548891
